taxa,stat,lower,median,upper,Nes,pA,n,name
noD,b,0.21701831850125,0.22338695399,0.23167969240675,500,0.001,20,full_DFE
noD,S_d,-4987.726669014999,-4269.58305405,-3469.873623825001,500,0.001,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,500,0.001,20,full_DFE
noD,alpha_div,0.7779035249999999,0.7835075,0.7890226250000001,500,0.001,20,full_DFE
noD,product,0.0,0.0,0.0,500,0.001,20,full_DFE
withD,Sb_est,1.3597286203355,4.93786638444,29.36242262226752,10,0.001,20,dDFE
withD,pa_est,0.000296448718,0.00210316836,0.00979880925725,10,0.001,20,dDFE
withD,b,0.286979530187,0.29640214603,0.31612429055525,10,0.001,20,dDFE
withD,S_d,-2396.22032508,-2121.24169745,-1784.4015962475,10,0.001,20,dDFE
withD,alpha_dfe,0.088725775,0.121295,0.20693537500000006,10,0.001,20,dDFE
withD,alpha_div,0.08885032500000001,0.12169749999999999,0.207975125,10,0.001,20,dDFE
withD,propSig,1.0,1.0,1.0,10,0.001,20,dDFE
noD,Sb_est,1.15556105668125,2.8890290124949995,10.179855549417502,10,0.001,20,dDFE
noD,pa_est,0.0004956217975000001,0.0012635307450000002,0.00391941011,10,0.001,20,dDFE
noD,b,0.28557722991,0.292515189745,0.3047030256025,10,0.001,20,dDFE
noD,S_d,-2454.7305933,-2210.2932990500008,-1887.90786395,10,0.001,20,dDFE
noD,alpha_dfe,0.01161825,0.057071000000000004,0.183803,10,0.001,20,dDFE
noD,alpha_div,0.0846325,0.1080475,0.14956199999999994,10,0.001,20,dDFE
noD,propSig,0.2441860465116279,0.2441860465116279,0.2441860465116279,10,0.001,20,dDFE
withD,Sb_est,10.659356295214998,10.838934973199999,12.048255703447495,1000,0.01,20,dDFE
withD,pa_est,0.44105637910175005,0.49090580066000006,0.49808486632575,1000,0.01,20,dDFE
withD,b,0.315101167905,0.9880193009,2.2288498997207498,1000,0.01,20,dDFE
withD,S_d,-45570.44836127501,-32320.913514499996,-24767.94540607501,1000,0.01,20,dDFE
withD,alpha_dfe,0.996015875,0.9999950000000001,1.0,1000,0.01,20,dDFE
withD,alpha_div,0.9960148249999998,0.9999950000000001,1.0,1000,0.01,20,dDFE
withD,propSig,1.0,1.0,1.0,1000,0.01,20,dDFE
noD,Sb_est,16.973130697225002,25.0234196023,43.828836016225004,1000,0.01,20,dDFE
noD,pa_est,0.49293870576750004,0.4982991942,0.499785572185,1000,0.01,20,dDFE
noD,b,2.130986989965,3.0130325144300003,6.7409734558425,1000,0.01,20,dDFE
noD,S_d,-53328.85757949999,-46298.460603,-37965.55391325,1000,0.01,20,dDFE
noD,alpha_dfe,1.0,1.0,1.0,1000,0.01,20,dDFE
noD,alpha_div,1.0,1.0,1.0,1000,0.01,20,dDFE
noD,propSig,1.0,1.0,1.0,1000,0.01,20,dDFE
withD,Sb_est,0.0,0.0,0.0,500,0.01,20,full_DFE
withD,pa_est,0.0,0.0,0.0,500,0.01,20,full_DFE
withD,b,0.01000001028675,0.010000022025,0.010000029118,500,0.01,20,full_DFE
withD,S_d,-2.5066545977175,-0.0045760778500000005,-3.5593652500000005e-05,500,0.01,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,500,0.01,20,full_DFE
withD,alpha_div,0.68973005,0.691121,0.705263875,500,0.01,20,full_DFE
withD,product,0.0,0.0,0.0,500,0.01,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,500,0.01,20,full_DFE
noD,pa_est,0.0,0.0,0.0,500,0.01,20,full_DFE
noD,b,0.06700365712999999,0.06846011434499999,0.069573029277,500,0.01,20,full_DFE
noD,S_d,-99998.283269275,-99942.34190449999,-98497.016738425,500,0.01,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,500,0.01,20,full_DFE
noD,alpha_div,0.8758928500000001,0.8782375,0.880039025,500,0.01,20,full_DFE
noD,product,0.0,0.0,0.0,500,0.01,20,full_DFE
withD,Sb_est,8.194430053303,8.322770379145,10.655998412068715,500,0.01,20,dDFE
withD,pa_est,0.3059716885880001,0.38027706645,0.3862918892595,500,0.01,20,dDFE
withD,b,0.41739796661925005,0.8853687948200001,1.1229500809762496,500,0.01,20,dDFE
withD,S_d,-29375.646172099994,-26713.1640935,-16310.825366650011,500,0.01,20,dDFE
withD,alpha_dfe,0.988694225,0.999966,0.99999605,500,0.01,20,dDFE
withD,alpha_div,0.988696325,0.999966,0.99999605,500,0.01,20,dDFE
withD,propSig,1.0,1.0,1.0,500,0.01,20,dDFE
noD,Sb_est,9.621292582413501,12.01041538335,15.626784234077494,500,0.01,20,dDFE
noD,pa_est,0.35966310984075,0.37444944545,0.3832357016435,500,0.01,20,dDFE
