S,pA,i,SFS_i
10,0.01,1,0.00010025050986693929
10,0.01,2,0.00005025113779284001
10,0.01,3,0.00003358510218992995
10,0.01,4,0.000025252403081493037
10,0.01,5,0.000020253040491039077
10,0.01,6,0.00001692034777563922
10,0.01,7,0.000014540039244975315
10,0.01,8,0.000012754972066104781
10,0.01,9,0.000011366733565054383
10,0.01,10,0.000010256276147491055
10,0.01,11,9.34784226253298e-6
10,0.01,12,8.590926884859454e-6
10,0.01,13,7.950565004920839e-6
10,0.01,14,7.401781623556834e-6
10,0.01,15,6.926261747928675e-6
10,0.01,16,6.510269140922687e-6
10,0.01,17,6.143299627148758e-6
10,0.01,18,5.817183298668918e-6
10,0.01,19,5.5254702340524314e-6
10,0.01,20,5.263000501818501e-6
10,0.01,21,5.025597020037891e-6
10,0.01,22,4.809842181496441e-6
10,0.01,23,4.6129127505530975e-6
10,0.01,24,4.432456035727327e-6
10,0.01,25,4.2664957812576865e-6
10,0.01,26,4.113359775179292e-6
10,0.01,27,3.971623545287344e-6
10,0.01,28,3.840066119877713e-6
10,0.01,29,3.7176349415083953e-6
10,0.01,30,3.603417798009729e-6
10,0.01,31,3.496620186202998e-6
10,0.01,32,3.396546919939256e-6
10,0.01,33,3.302587082034611e-6
10,0.01,34,3.214201619803146e-6
10,0.01,35,3.1309131377599233e-6
10,0.01,36,3.052297219200383e-6
10,0.01,37,2.9779753788774e-6
10,0.01,38,2.907608964937592e-6
10,0.01,39,2.8408940627451747e-6
10,0.01,40,2.7775571527767253e-6
10,0.01,41,2.7173514039453388e-6
10,0.01,42,2.6600534960088985e-6
10,0.01,43,2.605460887959787e-6
10,0.01,44,2.5533894525652664e-6
10,0.01,45,2.503671434571433e-6
10,0.01,46,2.4561536691626056e-6
10,0.01,47,2.4106960310761954e-6
10,0.01,48,2.367170072221936e-6
10,0.01,49,2.325457838235509e-6
10,0.01,50,2.2854508113154016e-6
10,0.01,51,2.247048988912363e-6
10,0.01,52,2.210160064263269e-6
10,0.01,53,2.1746987004181303e-6
10,0.01,54,2.1405858849134047e-6
10,0.01,55,2.1077483549487553e-6
10,0.01,56,2.0761180838995252e-6
10,0.01,57,2.04563182221425e-6
10,0.01,58,2.016230685561671e-6
10,0.01,59,1.9878597849577294e-6
10,0.01,60,1.960467893862741e-6
10,0.01,61,1.9340071480188657e-6
10,0.01,62,1.908432774326609e-6
10,0.01,63,1.8837028409445105e-6
10,0.01,64,1.859778051657811e-6
10,0.01,65,1.8366215213858916e-6
10,0.01,66,1.814198606637697e-6
10,0.01,67,1.792476735319374e-6
10,0.01,68,1.771425254413231e-6
10,0.01,69,1.7510152910322073e-6
10,0.01,70,1.7312196252645838e-6
10,0.01,71,1.7120125738168676e-6
10,0.01,72,1.6933698833493095e-6
10,0.01,73,1.6752686325759767e-6
10,0.01,74,1.6576871423029498e-6
10,0.01,75,1.6406048926639182e-6
10,0.01,76,1.624002446891998e-6
10,0.01,77,1.6078613810313539e-6
10,0.01,78,1.5921642190562331e-6
10,0.01,79,1.5768943729183347e-6
10,0.01,80,1.5620360870912972e-6
10,0.01,81,1.5475743872236823e-6
10,0.01,82,1.5334950323331897e-6
10,0.01,83,1.519784471630149e-6
10,0.01,84,1.5064298018663223e-6
10,0.01,85,1.4934187305138976e-6
10,0.01,86,1.4807395399346886e-6
10,0.01,87,1.4683810544131281e-6
10,0.01,88,1.456332609378833e-6
10,0.01,89,1.4445840227506905e-6
10,0.01,90,1.4331255681742979e-6
10,0.01,91,1.4219479500282132e-6
10,0.01,92,1.4110422800595182e-6
10,0.01,93,1.4004000555282708e-6
10,0.01,94,1.3900131387489807e-6
10,0.01,95,1.3798737379205912e-6
10,0.01,96,1.3699743891602234e-6
10,0.01,97,1.360307939646182e-6
10,0.01,98,1.3508675317943582e-6
10,0.01,99,1.3416465883944175e-6
10,0.01,100,1.3326387986385676e-6
10,0.01,101,1.3238381049807052e-6
10,0.01,102,1.3152386907715651e-6
10,0.01,103,1.3068349686094181e-6
10,0.01,104,1.298621569370912e-6
10,0.01,105,1.2905933318641128e-6
10,0.01,106,1.2827452930701656e-6
10,0.01,107,1.2750726789326058e-6
10,0.01,108,1.2675708956591908e-6
10,0.01,109,1.2602355215033549e-6
10,0.01,110,1.2530622989947768e-6
10,0.01,111,1.2460471275907754e-6
10,0.01,112,1.2391860567230711e-6
10,0.01,113,1.2324752792084652e-6
10,0.01,114,1.2259111250218427e-6
