S,pA,i,SFS_i
10,0.0001,1,1.002505098669393e-6
10,0.0001,2,5.025113779284001e-7
10,0.0001,3,3.3585102189929957e-7
10,0.0001,4,2.525240308149304e-7
10,0.0001,5,2.0253040491039078e-7
10,0.0001,6,1.692034777563922e-7
10,0.0001,7,1.4540039244975317e-7
10,0.0001,8,1.2754972066104782e-7
10,0.0001,9,1.1366733565054383e-7
10,0.0001,10,1.0256276147491056e-7
10,0.0001,11,9.347842262532981e-8
10,0.0001,12,8.590926884859454e-8
10,0.0001,13,7.95056500492084e-8
10,0.0001,14,7.401781623556835e-8
10,0.0001,15,6.926261747928675e-8
10,0.0001,16,6.510269140922687e-8
10,0.0001,17,6.143299627148759e-8
10,0.0001,18,5.817183298668919e-8
10,0.0001,19,5.525470234052432e-8
10,0.0001,20,5.263000501818502e-8
10,0.0001,21,5.025597020037891e-8
10,0.0001,22,4.809842181496441e-8
10,0.0001,23,4.612912750553098e-8
10,0.0001,24,4.432456035727328e-8
10,0.0001,25,4.266495781257687e-8
10,0.0001,26,4.113359775179293e-8
10,0.0001,27,3.971623545287344e-8
10,0.0001,28,3.8400661198777135e-8
10,0.0001,29,3.717634941508396e-8
10,0.0001,30,3.6034177980097294e-8
10,0.0001,31,3.496620186202998e-8
10,0.0001,32,3.396546919939256e-8
10,0.0001,33,3.3025870820346114e-8
10,0.0001,34,3.214201619803147e-8
10,0.0001,35,3.130913137759924e-8
10,0.0001,36,3.052297219200384e-8
10,0.0001,37,2.9779753788774e-8
10,0.0001,38,2.9076089649375923e-8
10,0.0001,39,2.8408940627451753e-8
10,0.0001,40,2.7775571527767256e-8
10,0.0001,41,2.7173514039453388e-8
10,0.0001,42,2.6600534960088987e-8
10,0.0001,43,2.605460887959787e-8
10,0.0001,44,2.5533894525652667e-8
10,0.0001,45,2.5036714345714333e-8
10,0.0001,46,2.4561536691626058e-8
10,0.0001,47,2.4106960310761958e-8
10,0.0001,48,2.3671700722219362e-8
10,0.0001,49,2.3254578382355093e-8
10,0.0001,50,2.285450811315402e-8
10,0.0001,51,2.247048988912363e-8
10,0.0001,52,2.2101600642632694e-8
10,0.0001,53,2.1746987004181304e-8
10,0.0001,54,2.140585884913405e-8
10,0.0001,55,2.1077483549487557e-8
10,0.0001,56,2.0761180838995257e-8
10,0.0001,57,2.0456318222142504e-8
10,0.0001,58,2.0162306855616713e-8
10,0.0001,59,1.9878597849577298e-8
10,0.0001,60,1.9604678938627413e-8
10,0.0001,61,1.9340071480188658e-8
10,0.0001,62,1.9084327743266093e-8
10,0.0001,63,1.8837028409445107e-8
10,0.0001,64,1.8597780516578112e-8
10,0.0001,65,1.8366215213858918e-8
10,0.0001,66,1.8141986066376973e-8
10,0.0001,67,1.7924767353193742e-8
10,0.0001,68,1.771425254413231e-8
10,0.0001,69,1.7510152910322076e-8
10,0.0001,70,1.731219625264584e-8
10,0.0001,71,1.7120125738168677e-8
10,0.0001,72,1.6933698833493097e-8
10,0.0001,73,1.675268632575977e-8
10,0.0001,74,1.65768714230295e-8
10,0.0001,75,1.6406048926639185e-8
10,0.0001,76,1.624002446891998e-8
10,0.0001,77,1.607861381031354e-8
10,0.0001,78,1.5921642190562333e-8
10,0.0001,79,1.576894372918335e-8
10,0.0001,80,1.5620360870912976e-8
10,0.0001,81,1.5475743872236826e-8
10,0.0001,82,1.53349503233319e-8
10,0.0001,83,1.519784471630149e-8
