S,pA,i,SFS_i
100,0.0001,1,1.0025062656641677e-6
100,0.0001,2,5.025125628140732e-7
100,0.0001,3,3.358522250209933e-7
100,0.0001,4,2.5252525252525877e-7
100,0.0001,5,2.0253164556963473e-7
100,0.0001,6,1.6920473773267906e-7
100,0.0001,7,1.4540167211924056e-7
100,0.0001,8,1.2755102040811217e-7
100,0.0001,9,1.1366865586797314e-7
100,0.0001,10,1.0256410256410253e-7
100,0.0001,11,9.34797849964946e-8
100,0.0001,12,8.591065292096246e-8
100,0.0001,13,7.950705625124299e-8
100,0.0001,14,7.40192450051846e-8
100,0.0001,15,6.926406926407482e-8
100,0.0001,16,6.51041666666814e-8
100,0.0001,17,6.143449546924281e-8
100,0.0001,18,5.817335660275973e-8
100,0.0001,19,5.525625086355209e-8
100,0.0001,20,5.26315789476924e-8
100,0.0001,21,5.0257570047028256e-8
100,0.0001,22,4.810004810082394e-8
100,0.0001,23,4.61307807643475e-8
100,0.0001,24,4.432624113475173e-8
100,0.0001,25,4.266666666666689e-8
100,0.0001,26,4.1135335252982604e-8
100,0.0001,27,3.97180021844906e-8
100,0.0001,28,3.84024577572981e-8
100,0.0001,29,3.7178176410450296e-8
100,0.0001,30,3.603603603604043e-8
100,0.0001,31,3.4968091616404065e-8
100,0.0001,32,3.396739130451593e-8
100,0.0001,33,3.302782594335125e-8
100,0.0001,34,3.214400502122344e-8
100,0.0001,35,3.131115459882593e-8
100,0.0001,36,3.052503052503014e-8
100,0.0001,37,2.9781847963671193e-8
100,0.0001,38,2.9078220412918084e-8
100,0.0001,39,2.8411108743522894e-8
100,0.0001,40,2.7777777777778985e-8
100,0.0001,41,2.7175759222773153e-8
100,0.0001,42,2.6602819894479278e-8
100,0.0001,43,2.6056934401667423e-8
100,0.0001,44,2.5536261491317704e-8
100,0.0001,45,2.5039123630673313e-8
100,0.0001,46,2.456398919184582e-8
100,0.0001,47,2.410945694297769e-8
100,0.0001,48,2.367424242444213e-8
100,0.0001,49,2.325716611440319e-8
100,0.0001,50,2.2857142857187443e-8
100,0.0001,51,2.247317265019766e-8
100,0.0001,52,2.2104332449264856e-8
100,0.0001,53,2.1749768908933074e-8
100,0.0001,54,2.140869192920765e-8
100,0.0001,55,2.1080368907338512e-8
100,0.0001,56,2.0764119602960464e-8
100,0.0001,57,2.0459311547085248e-8
100,0.0001,58,2.016535592358822e-8
100,0.0001,59,1.988170387049571e-8
100,0.0001,60,1.9607843150974533e-8
100,0.0001,61,1.9343295151724894e-8
100,0.0001,62,1.908761217176415e-8
100,0.0001,63,1.8840374923429547e-8
100,0.0001,64,1.860119047613485e-8
100,0.0001,65,1.8369690011395447e-8
100,0.0001,66,1.8145527127446613e-8
100,0.0001,67,1.792837613733141e-8
100,0.0001,68,1.7717930545712313e-8
100,0.0001,69,1.7513901659438726e-8
100,0.0001,70,1.731601731601737e-8
100,0.0001,71,1.7124020720065112e-8
100,0.0001,72,1.6937669376688846e-8
100,0.0001,73,1.6756734112511546e-8
100,0.0001,74,1.6580998176080313e-8
100,0.0001,75,1.6410256410249044e-8
100,0.0001,76,1.624431448992423e-8
100,0.0001,77,1.608298821920939e-8
100,0.0001,78,1.5926102882624566e-8
100,0.0001,79,1.577349264560988e-8
100,0.0001,80,1.562500000000114e-8
100,0.0001,81,1.5480475250591342e-8
100,0.0001,82,1.5339776037105064e-8
100,0.0001,83,1.5202766902467725e-8
100,0.0001,84,1.5069318866326342e-8
100,0.0001,85,1.4939309056876113e-8
100,0.0001,86,1.4812620352588313e-8
100,0.0001,87,1.4689141052577564e-8
100,0.0001,88,1.456876456886593e-8
100,0.0001,89,1.4451389139863255e-8
100,0.0001,90,1.4336917562782213e-8
100,0.0001,91,1.4225256943742546e-8
100,0.0001,92,1.4116318464169715e-8
100,0.0001,93,1.4010017162283615e-8
100,0.0001,94,1.3906271728558776e-8
100,0.0001,95,1.3805004314070966e-8
100,0.0001,96,1.370614035088272e-8
100,0.0001,97,1.360960838352289e-8
100,0.0001,98,1.3515339910801597e-8
100,0.0001,99,1.3423269237224484e-8
100,0.0001,100,1.3333333333334247e-8
100,0.0001,101,1.3245471704357586e-8
100,0.0001,102,1.315962626661373e-8
100,0.0001,103,1.3075741231080088e-8
100,0.0001,104,1.2993762993761105e-8
100,0.0001,105,1.2913640032280805e-8
100,0.0001,106,1.283532280836335e-8
100,0.0001,107,1.2758763675791985e-8
100,0.0001,108,1.2683916793495137e-8
100,0.0001,109,1.261073804343067e-8
100,0.0001,110,1.2539184952963296e-8
100,0.0001,111,1.2469216621452456e-8
100,0.0001,112,1.2400793650795917e-8
100,0.0001,113,1.2333878079614938e-8
100,0.0001,114,1.226843332106479e-8
100,0.0001,115,1.2204424103737706e-8
100,0.0001,116,1.2141816415736151e-8
100,0.0001,117,1.2080577451602794e-8
100,0.0001,118,1.202067556196546e-8
100,0.0001,119,1.196208020574706e-8
100,0.0001,120,1.1904761904761604e-8
100,0.0001,121,1.1848692200598394e-8
100,0.0001,122,1.179384361363394e-8
100,0.0001,123,1.174018960389903e-8
100,0.0001,124,1.168770453482874e-8
100,0.0001,125,1.163636363636268e-8
100,0.0001,126,1.1586142973004527e-8
100,0.0001,127,1.1537019411035315e-8
100,0.0001,128,1.148897058823306e-8
100,0.0001,129,1.144197488486512e-8
100,0.0001,130,1.139601139601132e-8
100,0.0001,131,1.1351059905218513e-8
100,0.0001,132,1.1307100859339494e-8
100,0.0001,133,1.1264115344541014e-8
100,0.0001,134,1.1222085063406349e-8
100,0.0001,135,1.118099231306893e-8
100,0.0001,136,1.114081996435293e-8
100,0.0001,137,1.1101551441823984e-8
100,0.0001,138,1.1063170704693202e-8
100,0.0001,139,1.1025662228885586e-8
100,0.0001,140,1.0989010989055201e-8
100,0.0001,141,1.095320244272575e-8
100,0.0001,142,1.0918222513757149e-8
100,0.0001,143,1.0884057577455193e-8
100,0.0001,144,1.0850694459629779e-8
100,0.0001,145,1.081812036382893e-8
100,0.0001,146,1.0786322954056842e-8
100,0.0001,147,1.0755290272021366e-8
100,0.0001,148,1.0725010744502148e-8
100,0.0001,149,1.0695473171961981e-8
100,0.0001,150,1.0666666717760385e-8
100,0.0001,151,1.0638580898005557e-8
100,0.0001,152,1.0611205572082506e-8
100,0.0001,153,1.0584530713277426e-8
100,0.0001,154,1.0558547144023343e-8
100,0.0001,155,1.0533245556346436e-8
100,0.0001,156,1.0508617066023666e-8
100,0.0001,157,1.0484653089054054e-8
100,0.0001,158,1.0461345329015416e-8
100,0.0001,159,1.0438685769465578e-8
100,0.0001,160,1.0416666666674395e-8
100,0.0001,161,1.0395280542635509e-8
100,0.0001,162,1.0374520178442874e-8
100,0.0001,163,1.0354378607854511e-8
100,0.0001,164,1.0334849111203446e-8
100,0.0001,165,1.0315925215194997e-8
100,0.0001,166,1.0297600659046401e-8
100,0.0001,167,1.0279869445657924e-8
100,0.0001,168,1.0262725779967228e-8
100,0.0001,169,1.0246164092317807e-8
100,0.0001,170,1.023017902806597e-8
100,0.0001,171,1.0214765443448244e-8
100,0.0001,172,1.0199918400652466e-8
100,0.0001,173,1.0185633164421226e-8
100,0.0001,174,1.0171905197843239e-8
100,0.0001,175,1.0158730158730219e-8
100,0.0001,176,1.0146103896103953e-8
100,0.0001,177,1.0134022446859294e-8
100,0.0001,178,1.0122482032593895e-8
100,0.0001,179,1.0111479056277265e-8
100,0.0001,180,1.010101010101006e-8
100,0.0001,181,1.0091071924115073e-8
100,0.0001,182,1.0081661457808708e-8
100,0.0001,183,1.0072775805192775e-8
100,0.0001,184,1.0064412238325207e-8
100,0.0001,185,1.0056568196103278e-8
100,0.0001,186,1.0049241282283436e-8
100,0.0001,187,1.0042429263639146e-8
100,0.0001,188,1.0036130068245959e-8
100,0.0001,189,1.003034178389655e-8
100,0.0001,190,1.0025062656641846e-8
100,0.0001,191,1.0020291089453773e-8
100,0.0001,192,1.001602564101817e-8
100,0.0001,193,1.0012265024646254e-8
100,0.0001,194,1.0009008107287482e-8
100,0.0001,195,1.0006253908685168e-8
100,0.0001,196,1.00040016006339e-8
100,0.0001,197,1.000225050635916e-8
100,0.0001,198,1.0001000100006538e-8
100,0.0001,199,1.000025000624759e-8
100,0.0001,200,9.999999999998036e-9
100,0.0001,201,1.0000250006247578e-8
100,0.0001,202,1.0001000100006521e-8
100,0.0001,203,1.0002250506359147e-8
100,0.0001,204,1.000400160063389e-8
100,0.0001,205,1.0006253908685173e-8
100,0.0001,206,1.0009008107287489e-8
100,0.0001,207,1.0012265024646262e-8
100,0.0001,208,1.0016025641018173e-8
100,0.0001,209,1.002029108945378e-8
100,0.0001,210,1.0025062656641841e-8
100,0.0001,211,1.0030341783896551e-8
100,0.0001,212,1.0036130068245964e-8
100,0.0001,213,1.0042429263639153e-8
100,0.0001,214,1.0049241282283446e-8
100,0.0001,215,1.0056568196103291e-8
100,0.0001,216,1.006441223832521e-8
100,0.0001,217,1.0072775805192764e-8
100,0.0001,218,1.0081661457808694e-8
100,0.0001,219,1.0091071924115075e-8
100,0.0001,220,1.0101010101010064e-8
100,0.0001,221,1.0111479056277285e-8
100,0.0001,222,1.0122482032593923e-8
100,0.0001,223,1.0134022446859322e-8
100,0.0001,224,1.0146103896103953e-8
100,0.0001,225,1.015873015873022e-8
100,0.0001,226,1.017190519784322e-8
100,0.0001,227,1.018563316442121e-8
100,0.0001,228,1.0199918400652453e-8
100,0.0001,229,1.0214765443448231e-8
100,0.0001,230,1.0230179028065976e-8
100,0.0001,231,1.024616409231781e-8
100,0.0001,232,1.0262725779967253e-8
100,0.0001,233,1.0279869445657926e-8
100,0.0001,234,1.0297600659046404e-8
100,0.0001,235,1.031592521519498e-8
100,0.0001,236,1.0334849111203446e-8
100,0.0001,237,1.0354378607854515e-8
100,0.0001,238,1.0374520178442877e-8
100,0.0001,239,1.0395280542635512e-8
100,0.0001,240,1.0416666666674385e-8
100,0.0001,241,1.043868576946557e-8
100,0.0001,242,1.0461345329015406e-8
100,0.0001,243,1.0484653089054048e-8
100,0.0001,244,1.0508617066023658e-8
100,0.0001,245,1.0533245556346426e-8
100,0.0001,246,1.0558547144023358e-8
100,0.0001,247,1.0584530713277443e-8
100,0.0001,248,1.06112055720825e-8
100,0.0001,249,1.0638580898005544e-8
100,0.0001,250,1.0666666717760372e-8
100,0.0001,251,1.069547317196195e-8
100,0.0001,252,1.0725010744502115e-8
100,0.0001,253,1.0755290272021343e-8
100,0.0001,254,1.0786322954056817e-8
100,0.0001,255,1.08181203638289e-8
100,0.0001,256,1.0850694459629736e-8
100,0.0001,257,1.0884057577455166e-8
100,0.0001,258,1.0918222513757086e-8
100,0.0001,259,1.0953202442725671e-8
100,0.0001,260,1.0989010989055085e-8
100,0.0001,261,1.1025662228885455e-8
100,0.0001,262,1.1063170704693035e-8
100,0.0001,263,1.1101551441823775e-8
100,0.0001,264,1.1140819964352656e-8
100,0.0001,265,1.118099231306858e-8
100,0.0001,266,1.1222085063405907e-8
100,0.0001,267,1.1264115344540451e-8
100,0.0001,268,1.130710085933878e-8
100,0.0001,269,1.1351059905217612e-8
100,0.0001,270,1.139601139601017e-8
100,0.0001,271,1.1441974884863661e-8
100,0.0001,272,1.148897058823122e-8
100,0.0001,273,1.153701941103294e-8
100,0.0001,274,1.1586142973001513e-8
100,0.0001,275,1.163636363635882e-8
100,0.0001,276,1.1687704534823833e-8
100,0.0001,277,1.174018960389281e-8
100,0.0001,278,1.179384361362602e-8
100,0.0001,279,1.1848692200588314e-8
100,0.0001,280,1.1904761904748774e-8
100,0.0001,281,1.1962080205730733e-8
100,0.0001,282,1.2020675561944677e-8
100,0.0001,283,1.2080577451576334e-8
100,0.0001,284,1.2141816415702484e-8
100,0.0001,285,1.2204424103694858e-8
100,0.0001,286,1.2268433321010259e-8
100,0.0001,287,1.233387807954554e-8
100,0.0001,288,1.24007936507076e-8
100,0.0001,289,1.2469216621340076e-8
100,0.0001,290,1.2539184952820288e-8
100,0.0001,291,1.2610738043248705e-8
100,0.0001,292,1.268391679326359e-8
100,0.0001,293,1.2758763675497358e-8
100,0.0001,294,1.2835322807988466e-8
100,0.0001,295,1.2913640031803816e-8
100,0.0001,296,1.2993762993154213e-8
100,0.0001,297,1.3075741230307922e-8
100,0.0001,298,1.3159626265631306e-8
100,0.0001,299,1.3245471703107642e-8
100,0.0001,300,1.3333333331743997e-8
100,0.0001,301,1.3423269235201272e-8
100,0.0001,302,1.3515339908227568e-8
100,0.0001,303,1.3609608380248078e-8
100,0.0001,304,1.3706140346716372e-8
100,0.0001,305,1.3805004308770348e-8
100,0.0001,306,1.3906271721815077e-8
100,0.0001,307,1.4010017153703912e-8
100,0.0001,308,1.4116318453254048e-8
100,0.0001,309,1.4225256929854785e-8
100,0.0001,310,1.433691754511289e-8
100,0.0001,311,1.4451389117382314e-8
100,0.0001,312,1.4568764540262526e-8
100,0.0001,313,1.4689141016183495e-8
100,0.0001,314,1.4812620306280481e-8
100,0.0001,315,1.493930899795232e-8
100,0.0001,316,1.5069318791347135e-8
100,0.0001,317,1.5202766807054983e-8
100,0.0001,318,1.5339775915685446e-8
100,0.0001,319,1.548047509606949e-8
100,0.0001,320,1.562499980334331e-8
100,0.0001,321,1.577349239531352e-8
100,0.0001,322,1.5926102564042283e-8
100,0.0001,323,1.608298781368744e-8
100,0.0001,324,1.62443139737044e-8
100,0.0001,325,1.641025575306865e-8
100,0.0001,326,1.6580997339387203e-8
100,0.0001,327,1.6756733047187716e-8
100,0.0001,328,1.693766802014697e-8
100,0.0001,329,1.712401899254458e-8
100,0.0001,330,1.7316015115858013e-8
100,0.0001,331,1.7513898857049173e-8
100,0.0001,332,1.7717926975870387e-8
100,0.0001,333,1.7928371589353536e-8
100,0.0001,334,1.8145521332632964e-8
100,0.0001,335,1.836968262699228e-8
100,0.0001,336,1.8601181064842123e-8
100,0.0001,337,1.8840362927209474e-8
100,0.0001,338,1.9087596878355602e-8
100,0.0001,339,1.9343275651819456e-8
100,0.0001,340,1.9607818283431764e-8
100,0.0001,341,1.988167215223346e-8
100,0.0001,342,2.0165315459828372e-8
100,0.0001,343,2.0459259916407293e-8
100,0.0001,344,2.0764053710032862e-8
100,0.0001,345,2.1080284794159578e-8
100,0.0001,346,2.140858453305888e-8
100,0.0001,347,2.1749631751855883e-8
100,0.0001,348,2.2104157239490437e-8
100,0.0001,349,2.247294877029664e-8
100,0.0001,350,2.2856856706378413e-8
100,0.0001,351,2.3256800262969915e-8
100,0.0001,352,2.3673774525906235e-8
100,0.0001,353,2.4108858333852612e-8
100,0.0001,354,2.4563223087023822e-8
100,0.0001,355,2.5038142798583633e-8
100,0.0001,356,2.5535005252688383e-8
100,0.0001,357,2.6055324754985107e-8
100,0.0001,358,2.6600756508189387e-8
100,0.0001,359,2.717311295694594e-8
100,0.0001,360,2.7774382294615616e-8
100,0.0001,361,2.8406749631519936e-8
100,0.0001,362,2.9072621071097977e-8
100,0.0001,363,2.9774651258025375e-8
100,0.0001,364,3.051577491901828e-8
100,0.0001,365,3.12992430485986e-8
100,0.0001,366,3.21286643777929e-8
100,0.0001,367,3.300805388825521e-8
100,0.0001,368,3.394188683159816e-8
100,0.0001,369,3.493516382907434e-8
100,0.0001,370,3.5993484201028135e-8
100,0.0001,371,3.7123131861705966e-8
100,0.0001,372,3.833117498678743e-8
100,0.0001,373,3.962558202506594e-8
100,0.0001,374,4.101535696650682e-8
100,0.0001,375,4.2510697326970595e-8
100,0.0001,376,4.412317896770506e-8
100,0.0001,377,4.586597265632111e-8
100,0.0001,378,4.775409821404824e-8
100,0.0001,379,4.980472324614675e-8
100,0.0001,380,5.203751478103858e-8
100,0.0001,381,5.447505380944245e-8
100,0.0001,382,5.714332466277147e-8
100,0.0001,383,6.007229354035764e-8
100,0.0001,384,6.329659334238718e-8
100,0.0001,385,6.685633539672601e-8
100,0.0001,386,7.079807280616658e-8
100,0.0001,387,7.517594512095851e-8
100,0.0001,388,8.005304010770471e-8
100,0.0001,389,8.55030155758182e-8
100,0.0001,390,9.16120331199939e-8
100,0.0001,391,9.848106618056803e-8
100,0.0001,392,1.0622865772405001e-7
100,0.0001,393,1.1499421838864071e-7
100,0.0001,394,1.2494197478819615e-7
100,0.0001,395,1.362657004787832e-7
100,0.0001,396,1.4919438975247536e-7
100,0.0001,397,1.6399906794815435e-7
100,0.0001,398,1.810009726329108e-7
100,0.0001,399,2.0058138934577534e-7
