S,pA,i,SFS_i
0.,0.001,1,0.000010000001246861308
0.,0.001,2,5.0000012468619145e-6
0.,0.001,3,3.333334580195393e-6
0.,0.001,4,2.5000012468622396e-6
0.,0.001,5,2.000001246862488e-6
0.,0.001,6,1.666667913529405e-6
0.,0.001,7,1.4285726754342237e-6
0.,0.001,8,1.2500012468623445e-6
0.,0.001,9,1.1111123579724168e-6
0.,0.001,10,1.0000012468630768e-6
0.,0.001,11,9.090921559541127e-7
0.,0.001,12,8.333345801966658e-7
0.,0.001,13,7.692320160942339e-7
0.,0.001,14,7.142869611639122e-7
0.,0.001,15,6.666679135304267e-7
0.,0.001,16,6.250012468639611e-7
0.,0.001,17,5.882365409819199e-7
0.,0.001,18,5.555568024203593e-7
0.,0.001,19,5.263170363394041e-7
0.,0.001,20,5.000012468672032e-7
0.,0.001,21,4.761917230597868e-7
0.,0.001,22,4.5454670141712053e-7
0.,0.001,23,4.347838555686229e-7
0.,0.001,24,4.166679135312724e-7
0.,0.001,25,4.0000124686470306e-7
0.,0.001,26,3.84616631480186e-7
0.,0.001,27,3.7037161723527366e-7
0.,0.001,28,3.571441040078698e-7
0.,0.001,29,3.448288330720474e-7
0.,0.001,30,3.333345801985939e-7
0.,0.001,31,3.2258189202665443e-7
0.,0.001,32,3.125012468671371e-7
0.,0.001,33,3.030315498957768e-7
0.,0.001,34,2.9411889392444974e-7
0.,0.001,35,2.8571553258001675e-7
0.,0.001,36,2.777790246436402e-7
0.,0.001,37,2.7027151713628463e-7
0.,0.001,38,2.631591416029856e-7
0.,0.001,39,2.5641150327647336e-7
0.,0.001,40,2.5000124686629e-7
0.,0.001,41,2.439036858907676e-7
0.,0.001,42,2.3809648492020963e-7
0.,0.001,43,2.3255938640145964e-7
0.,0.001,44,2.2727397413940504e-7
0.,0.001,45,2.2222346908900262e-7
0.,0.001,46,2.173925512147115e-7
0.,0.001,47,2.1276720438441652e-7
0.,0.001,48,2.0833458030573337e-7
0.,0.001,49,2.040828795211257e-7
0.,0.001,50,2.000012468676705e-7
0.,0.001,51,1.960796782402995e-7
0.,0.001,52,1.9230893917595801e-7
0.,0.001,53,1.8868049215233073e-7
0.,0.001,54,1.8518643205639056e-7
0.,0.001,55,1.8181942869275292e-7
0.,0.001,56,1.7857267545189465e-7
0.,0.001,57,1.7543984338177914e-7
