S,pA,i,SFS_i
50,0.001,1,0.000010256410256410283
50,0.001,2,5.263157894736836e-6
50,0.001,3,3.6036036036037547e-6
50,0.001,4,2.7777777777782243e-6
50,0.001,5,2.2857142857148103e-6
50,0.001,6,1.960784313723885e-6
50,0.001,7,1.731601731593107e-6
50,0.001,8,1.5624999999999948e-6
50,0.001,9,1.4336917562724694e-6
50,0.001,10,1.333333333333146e-6
50,0.001,11,1.2539184952974632e-6
50,0.001,12,1.1904761904748694e-6
50,0.001,13,1.1396011395967718e-6
50,0.001,14,1.0989010988868112e-6
50,0.001,15,1.0666666666214627e-6
50,0.001,16,1.041666666526419e-6
50,0.001,17,1.0230179023866906e-6
50,0.001,18,1.0101010088267547e-6
50,0.001,19,1.002506261921306e-6
50,0.001,20,9.999999891741923e-7
50,0.001,21,1.002506234788063e-6
50,0.001,22,1.0101009231727275e-6
50,0.001,23,1.023017660936346e-6
50,0.001,24,1.0416660007542261e-6
50,0.001,25,1.0666648506239798e-6
50,0.001,26,1.0988961871850058e-6
50,0.001,27,1.1395879485171883e-6
50,0.001,28,1.190440964864333e-6
50,0.001,29,1.2538248181806457e-6
50,0.001,30,1.3330848002410502e-6
50,0.001,31,1.4330324940273969e-6
50,0.001,32,1.5607466860929573e-6
50,0.001,33,1.726909327101481e-6
50,0.001,34,1.948080542638572e-6
50,0.001,35,2.2506477180250334e-6
50,0.001,36,2.6777996440155333e-6
50,0.001,37,3.302029929716718e-6
50,0.001,38,4.247843709420979e-6
50,0.001,39,5.733439358416089e-6
