S,pA,i,SFS_i
50,0.01,1,0.00010025062656641678
50,0.01,2,0.000050251256281407314
50,0.01,3,0.000033585222502099324
50,0.01,4,0.000025252525252525873
50,0.01,5,0.000020253164556963468
50,0.01,6,0.000016920473773267902
50,0.01,7,0.000014540167211924055
50,0.01,8,0.000012755102040811214
50,0.01,9,0.000011366865586797313
50,0.01,10,0.000010256410256410252
50,0.01,11,9.347978499649458e-6
50,0.01,12,8.591065292096245e-6
50,0.01,13,7.950705625124298e-6
50,0.01,14,7.401924500518459e-6
50,0.01,15,6.926406926407481e-6
50,0.01,16,6.51041666666814e-6
50,0.01,17,6.143449546924281e-6
50,0.01,18,5.817335660275972e-6
50,0.01,19,5.525625086355209e-6
50,0.01,20,5.263157894769239e-6
50,0.01,21,5.025757004702825e-6
50,0.01,22,4.810004810082393e-6
50,0.01,23,4.613078076434749e-6
50,0.01,24,4.432624113475172e-6
50,0.01,25,4.266666666666688e-6
50,0.01,26,4.11353352529826e-6
50,0.01,27,3.971800218449059e-6
50,0.01,28,3.840245775729809e-6
50,0.01,29,3.7178176410450293e-6
50,0.01,30,3.6036036036040422e-6
50,0.01,31,3.4968091616404063e-6
50,0.01,32,3.396739130451593e-6
50,0.01,33,3.302782594335125e-6
50,0.01,34,3.2144005021223438e-6
50,0.01,35,3.131115459882592e-6
50,0.01,36,3.052503052503014e-6
50,0.01,37,2.978184796367119e-6
50,0.01,38,2.907822041291808e-6
50,0.01,39,2.841110874352289e-6
50,0.01,40,2.777777777777898e-6
50,0.01,41,2.717575922277315e-6
50,0.01,42,2.6602819894479275e-6
50,0.01,43,2.605693440166742e-6
50,0.01,44,2.5536261491317703e-6
50,0.01,45,2.503912363067331e-6
50,0.01,46,2.4563989191845815e-6
50,0.01,47,2.410945694297769e-6
50,0.01,48,2.3674242424442125e-6
50,0.01,49,2.3257166114403185e-6
50,0.01,50,2.285714285718744e-6
50,0.01,51,2.247317265019766e-6
50,0.01,52,2.2104332449264854e-6
50,0.01,53,2.174976890893307e-6
50,0.01,54,2.140869192920765e-6
50,0.01,55,2.108036890733851e-6
50,0.01,56,2.076411960296046e-6
50,0.01,57,2.0459311547085248e-6
50,0.01,58,2.016535592358822e-6
50,0.01,59,1.988170387049571e-6
50,0.01,60,1.9607843150974527e-6
50,0.01,61,1.9343295151724892e-6
50,0.01,62,1.908761217176415e-6
50,0.01,63,1.8840374923429545e-6
50,0.01,64,1.8601190476134847e-6
50,0.01,65,1.8369690011395445e-6
50,0.01,66,1.8145527127446611e-6
50,0.01,67,1.792837613733141e-6
50,0.01,68,1.7717930545712309e-6
50,0.01,69,1.7513901659438724e-6
50,0.01,70,1.731601731601737e-6
50,0.01,71,1.712402072006511e-6
50,0.01,72,1.6937669376688844e-6
50,0.01,73,1.6756734112511545e-6
50,0.01,74,1.658099817608031e-6
50,0.01,75,1.6410256410249042e-6
50,0.01,76,1.624431448992423e-6
50,0.01,77,1.6082988219209387e-6
50,0.01,78,1.5926102882624566e-6
50,0.01,79,1.5773492645609875e-6
50,0.01,80,1.5625000000001138e-6
50,0.01,81,1.548047525059134e-6
50,0.01,82,1.5339776037105063e-6
50,0.01,83,1.5202766902467723e-6
50,0.01,84,1.5069318866326338e-6
50,0.01,85,1.4939309056876112e-6
50,0.01,86,1.4812620352588312e-6
50,0.01,87,1.4689141052577564e-6
50,0.01,88,1.456876456886593e-6
50,0.01,89,1.4451389139863251e-6
50,0.01,90,1.4336917562782212e-6
50,0.01,91,1.4225256943742543e-6
50,0.01,92,1.4116318464169713e-6
50,0.01,93,1.4010017162283617e-6
50,0.01,94,1.3906271728558774e-6
50,0.01,95,1.3805004314070962e-6
50,0.01,96,1.3706140350882719e-6
50,0.01,97,1.3609608383522886e-6
50,0.01,98,1.3515339910801597e-6
50,0.01,99,1.3423269237224486e-6
50,0.01,100,1.3333333333334243e-6
50,0.01,101,1.3245471704357584e-6
50,0.01,102,1.3159626266613726e-6
50,0.01,103,1.3075741231080086e-6
50,0.01,104,1.29937629937611e-6
50,0.01,105,1.29136400322808e-6
50,0.01,106,1.2835322808363344e-6
50,0.01,107,1.2758763675791976e-6
50,0.01,108,1.2683916793495135e-6
50,0.01,109,1.2610738043430665e-6
50,0.01,110,1.2539184952963294e-6
50,0.01,111,1.246921662145245e-6
50,0.01,112,1.240079365079591e-6
50,0.01,113,1.2333878079614932e-6
50,0.01,114,1.2268433321064785e-6
50,0.01,115,1.22044241037377e-6
50,0.01,116,1.2141816415736145e-6
50,0.01,117,1.2080577451602782e-6
50,0.01,118,1.2020675561965444e-6
50,0.01,119,1.1962080205747048e-6
50,0.01,120,1.1904761904761588e-6
50,0.01,121,1.1848692200598378e-6
50,0.01,122,1.179384361363392e-6
50,0.01,123,1.1740189603899006e-6
50,0.01,124,1.1687704534828713e-6
50,0.01,125,1.1636363636362652e-6
50,0.01,126,1.1586142973004497e-6
50,0.01,127,1.1537019411035278e-6
50,0.01,128,1.1488970588233017e-6
50,0.01,129,1.1441974884865075e-6
50,0.01,130,1.139601139601127e-6
50,0.01,131,1.1351059905218452e-6
50,0.01,132,1.1307100859339426e-6
50,0.01,133,1.126411534454094e-6
50,0.01,134,1.1222085063406262e-6
50,0.01,135,1.1180992313068834e-6
50,0.01,136,1.1140819964352824e-6
50,0.01,137,1.1101551441823862e-6
50,0.01,138,1.1063170704693066e-6
50,0.01,139,1.1025662228885434e-6
50,0.01,140,1.0989010989055023e-6
50,0.01,141,1.0953202442725556e-6
50,0.01,142,1.0918222513756926e-6
50,0.01,143,1.0884057577454937e-6
