S,pA,i,SFS_i
1000,0.01,1,0.00010025062656641678
1000,0.01,2,0.000050251256281407314
1000,0.01,3,0.000033585222502099324
1000,0.01,4,0.000025252525252525873
1000,0.01,5,0.000020253164556963468
1000,0.01,6,0.000016920473773267902
1000,0.01,7,0.000014540167211924055
1000,0.01,8,0.000012755102040811214
1000,0.01,9,0.000011366865586797313
1000,0.01,10,0.000010256410256410252
1000,0.01,11,9.347978499649458e-6
1000,0.01,12,8.591065292096245e-6
1000,0.01,13,7.950705625124298e-6
1000,0.01,14,7.401924500518459e-6
1000,0.01,15,6.926406926407481e-6
1000,0.01,16,6.51041666666814e-6
1000,0.01,17,6.143449546924281e-6
1000,0.01,18,5.817335660275972e-6
1000,0.01,19,5.525625086355209e-6
1000,0.01,20,5.263157894769239e-6
1000,0.01,21,5.025757004702825e-6
1000,0.01,22,4.810004810082393e-6
1000,0.01,23,4.613078076434749e-6
1000,0.01,24,4.432624113475172e-6
1000,0.01,25,4.266666666666688e-6
1000,0.01,26,4.11353352529826e-6
1000,0.01,27,3.971800218449059e-6
1000,0.01,28,3.840245775729809e-6
1000,0.01,29,3.7178176410450293e-6
1000,0.01,30,3.6036036036040422e-6
1000,0.01,31,3.4968091616404063e-6
1000,0.01,32,3.396739130451593e-6
1000,0.01,33,3.302782594335125e-6
1000,0.01,34,3.2144005021223438e-6
1000,0.01,35,3.131115459882592e-6
1000,0.01,36,3.052503052503014e-6
1000,0.01,37,2.978184796367119e-6
1000,0.01,38,2.907822041291808e-6
1000,0.01,39,2.841110874352289e-6
1000,0.01,40,2.777777777777898e-6
1000,0.01,41,2.717575922277315e-6
1000,0.01,42,2.6602819894479275e-6
1000,0.01,43,2.605693440166742e-6
1000,0.01,44,2.5536261491317703e-6
1000,0.01,45,2.503912363067331e-6
1000,0.01,46,2.4563989191845815e-6
1000,0.01,47,2.410945694297769e-6
1000,0.01,48,2.3674242424442125e-6
1000,0.01,49,2.3257166114403185e-6
1000,0.01,50,2.285714285718744e-6
1000,0.01,51,2.247317265019766e-6
1000,0.01,52,2.2104332449264854e-6
1000,0.01,53,2.174976890893307e-6
1000,0.01,54,2.140869192920765e-6
1000,0.01,55,2.108036890733851e-6
1000,0.01,56,2.076411960296046e-6
