alleles,count,class,site
1,58987,neutral,syn
2,26672,neutral,syn
3,16448,neutral,syn
4,11307,neutral,syn
5,8706,neutral,syn
6,6823,neutral,syn
7,5619,neutral,syn
8,4536,neutral,syn
9,3897,neutral,syn
10,3477,neutral,syn
11,2917,neutral,syn
12,2627,neutral,syn
13,2369,neutral,syn
14,2153,neutral,syn
15,2009,neutral,syn
16,1780,neutral,syn
17,1725,neutral,syn
18,1658,neutral,syn
19,1525,neutral,syn
20,1459,neutral,syn
21,1313,neutral,syn
22,1261,neutral,syn
23,1251,neutral,syn
24,1157,neutral,syn
25,1138,neutral,syn
26,1065,neutral,syn
27,1087,neutral,syn
28,998,neutral,syn
29,1019,neutral,syn
30,951,neutral,syn
31,1001,neutral,syn
32,919,neutral,syn
33,961,neutral,syn
34,920,neutral,syn
35,935,neutral,syn
36,933,neutral,syn
37,941,neutral,syn
38,985,neutral,syn
39,1094,neutral,syn
1,34739,deleterious,nonsyn
2,11351,deleterious,nonsyn
3,6184,deleterious,nonsyn
4,3847,deleterious,nonsyn
5,2671,deleterious,nonsyn
6,1972,deleterious,nonsyn
7,1649,deleterious,nonsyn
8,1215,deleterious,nonsyn
9,1046,deleterious,nonsyn
10,897,deleterious,nonsyn
11,773,deleterious,nonsyn
12,656,deleterious,nonsyn
13,615,deleterious,nonsyn
14,548,deleterious,nonsyn
15,488,deleterious,nonsyn
16,455,deleterious,nonsyn
17,394,deleterious,nonsyn
18,368,deleterious,nonsyn
19,348,deleterious,nonsyn
20,316,deleterious,nonsyn
21,287,deleterious,nonsyn
22,262,deleterious,nonsyn
23,304,deleterious,nonsyn
24,254,deleterious,nonsyn
25,255,deleterious,nonsyn
26,260,deleterious,nonsyn
27,225,deleterious,nonsyn
28,223,deleterious,nonsyn
29,213,deleterious,nonsyn
30,220,deleterious,nonsyn
31,237,deleterious,nonsyn
32,209,deleterious,nonsyn
33,222,deleterious,nonsyn
34,200,deleterious,nonsyn
35,195,deleterious,nonsyn
36,225,deleterious,nonsyn
37,172,deleterious,nonsyn
38,223,deleterious,nonsyn
39,217,deleterious,nonsyn
1,19,advantageus,nonsyn
2,7,advantageus,nonsyn
3,7,advantageus,nonsyn
4,2,advantageus,nonsyn
5,5,advantageus,nonsyn
6,3,advantageus,nonsyn
7,0,advantageus,nonsyn
8,2,advantageus,nonsyn
9,0,advantageus,nonsyn
10,1,advantageus,nonsyn
11,2,advantageus,nonsyn
12,0,advantageus,nonsyn
13,2,advantageus,nonsyn
14,0,advantageus,nonsyn
15,2,advantageus,nonsyn
16,0,advantageus,nonsyn
17,0,advantageus,nonsyn
18,1,advantageus,nonsyn
19,2,advantageus,nonsyn
20,1,advantageus,nonsyn
21,1,advantageus,nonsyn
22,1,advantageus,nonsyn
23,1,advantageus,nonsyn
24,2,advantageus,nonsyn
25,3,advantageus,nonsyn
26,4,advantageus,nonsyn
27,5,advantageus,nonsyn
28,3,advantageus,nonsyn
29,0,advantageus,nonsyn
30,0,advantageus,nonsyn
31,4,advantageus,nonsyn
32,4,advantageus,nonsyn
33,2,advantageus,nonsyn
34,1,advantageus,nonsyn
35,4,advantageus,nonsyn
36,4,advantageus,nonsyn
37,2,advantageus,nonsyn
38,7,advantageus,nonsyn
39,12,advantageus,nonsyn
