S,pA,i,SFS_i
50,0.001,1,0.000010025062656641678
50,0.001,2,5.025125628140731e-6
50,0.001,3,3.358522250209932e-6
50,0.001,4,2.525252525252587e-6
50,0.001,5,2.025316455696347e-6
50,0.001,6,1.6920473773267903e-6
50,0.001,7,1.4540167211924056e-6
50,0.001,8,1.2755102040811215e-6
50,0.001,9,1.1366865586797312e-6
50,0.001,10,1.0256410256410252e-6
50,0.001,11,9.347978499649458e-7
50,0.001,12,8.591065292096246e-7
50,0.001,13,7.950705625124298e-7
50,0.001,14,7.401924500518459e-7
50,0.001,15,6.926406926407481e-7
50,0.001,16,6.51041666666814e-7
50,0.001,17,6.14344954692428e-7
50,0.001,18,5.817335660275973e-7
50,0.001,19,5.525625086355208e-7
50,0.001,20,5.26315789476924e-7
50,0.001,21,5.025757004702825e-7
50,0.001,22,4.810004810082394e-7
50,0.001,23,4.61307807643475e-7
50,0.001,24,4.432624113475172e-7
50,0.001,25,4.2666666666666885e-7
50,0.001,26,4.1135335252982596e-7
50,0.001,27,3.971800218449059e-7
50,0.001,28,3.8402457757298094e-7
50,0.001,29,3.7178176410450296e-7
50,0.001,30,3.603603603604042e-7
50,0.001,31,3.496809161640406e-7
50,0.001,32,3.396739130451593e-7
50,0.001,33,3.302782594335125e-7
50,0.001,34,3.214400502122344e-7
50,0.001,35,3.1311154598825925e-7
50,0.001,36,3.052503052503014e-7
50,0.001,37,2.978184796367119e-7
50,0.001,38,2.907822041291808e-7
50,0.001,39,2.841110874352289e-7
50,0.001,40,2.7777777777778983e-7
50,0.001,41,2.717575922277315e-7
50,0.001,42,2.6602819894479276e-7
50,0.001,43,2.6056934401667423e-7
50,0.001,44,2.55362614913177e-7
50,0.001,45,2.503912363067331e-7
50,0.001,46,2.4563989191845815e-7
50,0.001,47,2.410945694297769e-7
50,0.001,48,2.3674242424442128e-7
50,0.001,49,2.3257166114403185e-7
50,0.001,50,2.285714285718744e-7
50,0.001,51,2.2473172650197662e-7
50,0.001,52,2.2104332449264854e-7
50,0.001,53,2.1749768908933073e-7
50,0.001,54,2.140869192920765e-7
50,0.001,55,2.108036890733851e-7
50,0.001,56,2.0764119602960462e-7
50,0.001,57,2.0459311547085246e-7
50,0.001,58,2.0165355923588221e-7
50,0.001,59,1.988170387049571e-7
50,0.001,60,1.960784315097453e-7
50,0.001,61,1.9343295151724892e-7
50,0.001,62,1.908761217176415e-7
50,0.001,63,1.8840374923429547e-7
50,0.001,64,1.8601190476134848e-7
50,0.001,65,1.8369690011395445e-7
50,0.001,66,1.814552712744661e-7
50,0.001,67,1.7928376137331411e-7
50,0.001,68,1.771793054571231e-7
50,0.001,69,1.7513901659438726e-7
50,0.001,70,1.731601731601737e-7
50,0.001,71,1.712402072006511e-7
50,0.001,72,1.6937669376688843e-7
50,0.001,73,1.6756734112511545e-7
50,0.001,74,1.658099817608031e-7
50,0.001,75,1.6410256410249043e-7
50,0.001,76,1.624431448992423e-7
50,0.001,77,1.6082988219209388e-7
50,0.001,78,1.5926102882624566e-7
50,0.001,79,1.5773492645609876e-7
50,0.001,80,1.562500000000114e-7
50,0.001,81,1.5480475250591342e-7
50,0.001,82,1.5339776037105063e-7
50,0.001,83,1.5202766902467723e-7
50,0.001,84,1.506931886632634e-7
50,0.001,85,1.4939309056876113e-7
50,0.001,86,1.481262035258831e-7
50,0.001,87,1.4689141052577563e-7
50,0.001,88,1.456876456886593e-7
50,0.001,89,1.4451389139863252e-7
50,0.001,90,1.433691756278221e-7
50,0.001,91,1.4225256943742544e-7
50,0.001,92,1.4116318464169714e-7
50,0.001,93,1.4010017162283617e-7
50,0.001,94,1.3906271728558776e-7
50,0.001,95,1.3805004314070964e-7
50,0.001,96,1.370614035088272e-7
50,0.001,97,1.3609608383522887e-7
50,0.001,98,1.3515339910801595e-7
50,0.001,99,1.3423269237224486e-7
50,0.001,100,1.3333333333334242e-7
50,0.001,101,1.3245471704357583e-7
50,0.001,102,1.3159626266613726e-7
50,0.001,103,1.3075741231080087e-7
50,0.001,104,1.29937629937611e-7
50,0.001,105,1.2913640032280798e-7
50,0.001,106,1.2835322808363343e-7
50,0.001,107,1.2758763675791975e-7
50,0.001,108,1.2683916793495135e-7
50,0.001,109,1.2610738043430665e-7
50,0.001,110,1.2539184952963294e-7
50,0.001,111,1.2469216621452452e-7
50,0.001,112,1.240079365079591e-7
50,0.001,113,1.233387807961493e-7
50,0.001,114,1.2268433321064786e-7
50,0.001,115,1.2204424103737697e-7
