S,pA,i,SFS_i
10,0.001,1,0.00001002505098669393
10,0.001,2,5.025113779284001e-6
10,0.001,3,3.358510218992995e-6
10,0.001,4,2.5252403081493036e-6
10,0.001,5,2.0253040491039077e-6
10,0.001,6,1.692034777563922e-6
10,0.001,7,1.4540039244975315e-6
10,0.001,8,1.2754972066104782e-6
10,0.001,9,1.1366733565054383e-6
10,0.001,10,1.0256276147491055e-6
10,0.001,11,9.34784226253298e-7
10,0.001,12,8.590926884859454e-7
10,0.001,13,7.950565004920839e-7
10,0.001,14,7.401781623556835e-7
10,0.001,15,6.926261747928675e-7
10,0.001,16,6.510269140922687e-7
10,0.001,17,6.143299627148758e-7
10,0.001,18,5.817183298668918e-7
10,0.001,19,5.525470234052431e-7
10,0.001,20,5.263000501818502e-7
10,0.001,21,5.025597020037891e-7
10,0.001,22,4.809842181496441e-7
10,0.001,23,4.6129127505530976e-7
10,0.001,24,4.4324560357273275e-7
10,0.001,25,4.2664957812576865e-7
10,0.001,26,4.1133597751792925e-7
10,0.001,27,3.971623545287344e-7
10,0.001,28,3.8400661198777133e-7
10,0.001,29,3.7176349415083953e-7
10,0.001,30,3.6034177980097294e-7
10,0.001,31,3.496620186202998e-7
10,0.001,32,3.396546919939256e-7
10,0.001,33,3.3025870820346114e-7
10,0.001,34,3.214201619803146e-7
10,0.001,35,3.1309131377599235e-7
10,0.001,36,3.0522972192003833e-7
10,0.001,37,2.9779753788773997e-7
10,0.001,38,2.907608964937592e-7
10,0.001,39,2.840894062745175e-7
10,0.001,40,2.7775571527767253e-7
10,0.001,41,2.717351403945339e-7
10,0.001,42,2.6600534960088983e-7
10,0.001,43,2.605460887959787e-7
10,0.001,44,2.553389452565266e-7
10,0.001,45,2.503671434571433e-7
10,0.001,46,2.4561536691626055e-7
10,0.001,47,2.410696031076196e-7
10,0.001,48,2.367170072221936e-7
10,0.001,49,2.3254578382355092e-7
10,0.001,50,2.2854508113154018e-7
10,0.001,51,2.2470489889123631e-7
10,0.001,52,2.210160064263269e-7
10,0.001,53,2.1746987004181302e-7
10,0.001,54,2.140585884913405e-7
10,0.001,55,2.1077483549487555e-7
10,0.001,56,2.0761180838995254e-7
10,0.001,57,2.0456318222142503e-7
10,0.001,58,2.0162306855616711e-7
10,0.001,59,1.9878597849577298e-7
10,0.001,60,1.960467893862741e-7
10,0.001,61,1.934007148018866e-7
10,0.001,62,1.9084327743266092e-7
10,0.001,63,1.8837028409445107e-7
10,0.001,64,1.8597780516578108e-7
10,0.001,65,1.8366215213858916e-7
10,0.001,66,1.814198606637697e-7
10,0.001,67,1.792476735319374e-7
10,0.001,68,1.771425254413231e-7
10,0.001,69,1.7510152910322075e-7
10,0.001,70,1.7312196252645837e-7
10,0.001,71,1.7120125738168676e-7
10,0.001,72,1.6933698833493095e-7
10,0.001,73,1.6752686325759767e-7
10,0.001,74,1.6576871423029497e-7
10,0.001,75,1.6406048926639184e-7
10,0.001,76,1.624002446891998e-7
10,0.001,77,1.6078613810313539e-7
10,0.001,78,1.592164219056233e-7
10,0.001,79,1.5768943729183348e-7
10,0.001,80,1.5620360870912973e-7
10,0.001,81,1.5475743872236824e-7
10,0.001,82,1.5334950323331896e-7
10,0.001,83,1.519784471630149e-7
10,0.001,84,1.5064298018663224e-7
10,0.001,85,1.4934187305138976e-7
10,0.001,86,1.4807395399346887e-7
10,0.001,87,1.468381054413128e-7
10,0.001,88,1.456332609378833e-7
10,0.001,89,1.4445840227506904e-7
10,0.001,90,1.433125568174298e-7
10,0.001,91,1.4219479500282134e-7
10,0.001,92,1.4110422800595183e-7
10,0.001,93,1.4004000555282708e-7
10,0.001,94,1.3900131387489807e-7
10,0.001,95,1.3798737379205914e-7
10,0.001,96,1.3699743891602234e-7
10,0.001,97,1.360307939646182e-7
10,0.001,98,1.350867531794358e-7
10,0.001,99,1.3416465883944175e-7
10,0.001,100,1.3326387986385677e-7
10,0.001,101,1.3238381049807052e-7
10,0.001,102,1.3152386907715653e-7
10,0.001,103,1.3068349686094182e-7
10,0.001,104,1.2986215693709122e-7
10,0.001,105,1.290593331864113e-7
10,0.001,106,1.2827452930701658e-7
10,0.001,107,1.2750726789326058e-7
10,0.001,108,1.2675708956591908e-7
10,0.001,109,1.260235521503355e-7
10,0.001,110,1.253062298994777e-7
10,0.001,111,1.2460471275907753e-7
10,0.001,112,1.2391860567230713e-7
10,0.001,113,1.2324752792084655e-7
10,0.001,114,1.2259111250218426e-7
10,0.001,115,1.219490055378168e-7
10,0.001,116,1.2132086571312696e-7
10,0.001,117,1.2070636374580448e-7
10,0.001,118,1.2010518188139006e-7
10,0.001,119,1.1951701341444236e-7
10,0.001,120,1.1894156223353779e-7
10,0.001,121,1.1837854238912417e-7
10,0.001,122,1.178276776826216e-7
10,0.001,123,1.1728870127405204e-7
10,0.001,124,1.1676135531842159e-7
10,0.001,125,1.1624539059568676e-7
10,0.001,126,1.1574056619012777e-7
10,0.001,127,1.152466491613394e-7
