S,pA,i,SFS_i
100,0.0001,1,1.0256410256410284e-6
100,0.0001,2,5.263157894736837e-7
100,0.0001,3,3.6036036036037553e-7
100,0.0001,4,2.777777777778225e-7
100,0.0001,5,2.2857142857148107e-7
100,0.0001,6,1.960784313723886e-7
100,0.0001,7,1.731601731593109e-7
100,0.0001,8,1.5625000000000028e-7
100,0.0001,9,1.4336917562724996e-7
100,0.0001,10,1.333333333333255e-7
100,0.0001,11,1.2539184952978475e-7
100,0.0001,12,1.1904761904761887e-7
100,0.0001,13,1.1396011396011653e-7
100,0.0001,14,1.098901098901071e-7
100,0.0001,15,1.066666666666669e-7
100,0.0001,16,1.0416666666666713e-7
100,0.0001,17,1.0230179028132956e-7
100,0.0001,18,1.010101010100964e-7
100,0.0001,19,1.0025062656640512e-7
100,0.0001,20,9.999999999999777e-8
100,0.0001,21,1.002506265662152e-7
100,0.0001,22,1.0101010100909889e-7
100,0.0001,23,1.0230179027638312e-7
100,0.0001,24,1.0416666664269243e-7
100,0.0001,25,1.0666666655275264e-7
100,0.0001,26,1.0989010935856229e-7
100,0.0001,27,1.1396011152004808e-7
100,0.0001,28,1.1904760800791582e-7
100,0.0001,29,1.2539180020584857e-7
100,0.0001,30,1.333331152352644e-7
100,0.0001,31,1.433682187748995e-7
100,0.0001,32,1.5624582178933774e-7
100,0.0001,33,1.7314194136419685e-7
100,0.0001,34,1.9599849382383313e-7
100,0.0001,35,2.2821637001219924e-7
100,0.0001,36,2.761589050549184e-7
100,0.0001,37,3.5259757915205245e-7
100,0.0001,38,4.850060594918592e-7
100,0.0001,39,7.36369293845898e-7
