alleles,count,class,site
1,65312,neutral,syn
2,32226,neutral,syn
3,20809,neutral,syn
4,15598,neutral,syn
5,12192,neutral,syn
6,10136,neutral,syn
7,8482,neutral,syn
8,7239,neutral,syn
9,6475,neutral,syn
10,5875,neutral,syn
11,5145,neutral,syn
12,4730,neutral,syn
13,4224,neutral,syn
14,4126,neutral,syn
15,3773,neutral,syn
16,3446,neutral,syn
17,3303,neutral,syn
18,3167,neutral,syn
19,2936,neutral,syn
20,2772,neutral,syn
21,2586,neutral,syn
22,2482,neutral,syn
23,2329,neutral,syn
24,2301,neutral,syn
25,2183,neutral,syn
26,2192,neutral,syn
27,2032,neutral,syn
28,1978,neutral,syn
29,1931,neutral,syn
30,1837,neutral,syn
31,1794,neutral,syn
32,1801,neutral,syn
33,1697,neutral,syn
34,1735,neutral,syn
35,1622,neutral,syn
36,1610,neutral,syn
37,1646,neutral,syn
38,1680,neutral,syn
39,1585,neutral,syn
1,36290,deleterious,nonsyn
2,12988,deleterious,nonsyn
3,7226,deleterious,nonsyn
4,4869,deleterious,nonsyn
5,3644,deleterious,nonsyn
6,2739,deleterious,nonsyn
7,2207,deleterious,nonsyn
8,1843,deleterious,nonsyn
9,1658,deleterious,nonsyn
10,1414,deleterious,nonsyn
11,1242,deleterious,nonsyn
12,1126,deleterious,nonsyn
13,981,deleterious,nonsyn
14,892,deleterious,nonsyn
15,871,deleterious,nonsyn
16,758,deleterious,nonsyn
17,700,deleterious,nonsyn
18,669,deleterious,nonsyn
19,620,deleterious,nonsyn
20,623,deleterious,nonsyn
21,566,deleterious,nonsyn
22,514,deleterious,nonsyn
23,476,deleterious,nonsyn
24,490,deleterious,nonsyn
25,447,deleterious,nonsyn
26,424,deleterious,nonsyn
27,412,deleterious,nonsyn
28,359,deleterious,nonsyn
29,347,deleterious,nonsyn
30,325,deleterious,nonsyn
31,347,deleterious,nonsyn
32,346,deleterious,nonsyn
33,313,deleterious,nonsyn
34,286,deleterious,nonsyn
35,281,deleterious,nonsyn
36,286,deleterious,nonsyn
37,288,deleterious,nonsyn
38,298,deleterious,nonsyn
39,317,deleterious,nonsyn
1,1341,advantageus,nonsyn
2,697,advantageus,nonsyn
3,461,advantageus,nonsyn
4,383,advantageus,nonsyn
5,298,advantageus,nonsyn
6,266,advantageus,nonsyn
7,222,advantageus,nonsyn
8,192,advantageus,nonsyn
9,214,advantageus,nonsyn
10,170,advantageus,nonsyn
11,184,advantageus,nonsyn
12,151,advantageus,nonsyn
13,156,advantageus,nonsyn
14,143,advantageus,nonsyn
15,151,advantageus,nonsyn
16,138,advantageus,nonsyn
17,145,advantageus,nonsyn
18,113,advantageus,nonsyn
19,133,advantageus,nonsyn
20,144,advantageus,nonsyn
21,138,advantageus,nonsyn
22,137,advantageus,nonsyn
23,133,advantageus,nonsyn
24,129,advantageus,nonsyn
25,108,advantageus,nonsyn
26,123,advantageus,nonsyn
27,130,advantageus,nonsyn
28,134,advantageus,nonsyn
29,145,advantageus,nonsyn
30,148,advantageus,nonsyn
31,144,advantageus,nonsyn
32,146,advantageus,nonsyn
33,160,advantageus,nonsyn
34,176,advantageus,nonsyn
35,167,advantageus,nonsyn
36,170,advantageus,nonsyn
37,173,advantageus,nonsyn
38,217,advantageus,nonsyn
39,200,advantageus,nonsyn
