S,pA,i,SFS_i
0.,0.001,1,0.000010000012194939088
0.,0.001,2,5.000012194948036e-6
0.,0.001,3,3.3333455282911455e-6
0.,0.001,4,2.5000121949676155e-6
0.,0.001,5,2.000012194977337e-6
0.,0.001,6,1.6666788616525376e-6
0.,0.001,7,1.4285836235617387e-6
0.,0.001,8,1.2500121950056037e-6
0.,0.001,9,1.111123306126557e-6
0.,0.001,10,1.0000121950250714e-6
0.,0.001,11,9.091031041257714e-7
0.,0.001,12,8.333455283778626e-7
0.,0.001,13,7.692429642850394e-7
0.,0.001,14,7.142979093496411e-7
0.,0.001,15,6.666788617402638e-7
0.,0.001,16,6.250121950832513e-7
0.,0.001,17,5.882474892106131e-7
0.,0.001,18,5.555677506580887e-7
0.,0.001,19,5.263279845858397e-7
0.,0.001,20,5.000121951220202e-7
0.,0.001,21,4.762026713221545e-7
0.,0.001,22,4.545576496866147e-7
0.,0.001,23,4.34794803846524e-7
0.,0.001,24,4.1667886182731386e-7
0.,0.001,25,4.000121951702698e-7
0.,0.001,26,3.846275797953442e-7
0.,0.001,27,3.703825655600189e-7
0.,0.001,28,3.571550523422034e-7
0.,0.001,29,3.4483978141592225e-7
0.,0.001,30,3.333455285520895e-7
0.,0.001,31,3.225928403897466e-7
0.,0.001,32,3.125121952381762e-7
0.,0.001,33,3.0304249827812856e-7
0.,0.001,34,2.941298423150543e-7
0.,0.001,35,2.8572648098125834e-7
0.,0.001,36,2.7778997305454787e-7
0.,0.001,37,2.70282465556776e-7
0.,0.001,38,2.6317009003328607e-7
0.,0.001,39,2.564224517169599e-7
