alleles,count,class,site
12,2,advantageus,nonsyn
13,2,advantageus,nonsyn
14,1,advantageus,nonsyn
15,0,advantageus,nonsyn
16,1,advantageus,nonsyn
17,2,advantageus,nonsyn
18,0,advantageus,nonsyn
19,1,advantageus,nonsyn
20,1,advantageus,nonsyn
21,0,advantageus,nonsyn
22,0,advantageus,nonsyn
23,1,advantageus,nonsyn
24,1,advantageus,nonsyn
25,0,advantageus,nonsyn
26,0,advantageus,nonsyn
27,0,advantageus,nonsyn
28,1,advantageus,nonsyn
29,2,advantageus,nonsyn
30,0,advantageus,nonsyn
31,0,advantageus,nonsyn
32,2,advantageus,nonsyn
33,1,advantageus,nonsyn
34,0,advantageus,nonsyn
35,0,advantageus,nonsyn
36,0,advantageus,nonsyn
37,1,advantageus,nonsyn
38,0,advantageus,nonsyn
39,0,advantageus,nonsyn
40,1,advantageus,nonsyn
41,1,advantageus,nonsyn
42,0,advantageus,nonsyn
43,1,advantageus,nonsyn
44,0,advantageus,nonsyn
45,2,advantageus,nonsyn
46,0,advantageus,nonsyn
47,0,advantageus,nonsyn
48,0,advantageus,nonsyn
49,0,advantageus,nonsyn
50,0,advantageus,nonsyn
51,1,advantageus,nonsyn
52,0,advantageus,nonsyn
53,1,advantageus,nonsyn
54,0,advantageus,nonsyn
55,0,advantageus,nonsyn
56,0,advantageus,nonsyn
57,0,advantageus,nonsyn
58,0,advantageus,nonsyn
59,0,advantageus,nonsyn
60,0,advantageus,nonsyn
61,1,advantageus,nonsyn
62,1,advantageus,nonsyn
63,1,advantageus,nonsyn
64,1,advantageus,nonsyn
65,0,advantageus,nonsyn
66,0,advantageus,nonsyn
67,0,advantageus,nonsyn
68,2,advantageus,nonsyn
69,0,advantageus,nonsyn
70,0,advantageus,nonsyn
71,1,advantageus,nonsyn
72,0,advantageus,nonsyn
73,1,advantageus,nonsyn
74,1,advantageus,nonsyn
75,1,advantageus,nonsyn
76,0,advantageus,nonsyn
77,2,advantageus,nonsyn
78,0,advantageus,nonsyn
79,1,advantageus,nonsyn
80,1,advantageus,nonsyn
81,1,advantageus,nonsyn
82,2,advantageus,nonsyn
83,0,advantageus,nonsyn
84,2,advantageus,nonsyn
85,1,advantageus,nonsyn
86,2,advantageus,nonsyn
87,2,advantageus,nonsyn
88,1,advantageus,nonsyn
89,3,advantageus,nonsyn
90,1,advantageus,nonsyn
91,1,advantageus,nonsyn
92,1,advantageus,nonsyn
93,1,advantageus,nonsyn
94,2,advantageus,nonsyn
95,1,advantageus,nonsyn
96,4,advantageus,nonsyn
97,5,advantageus,nonsyn
98,4,advantageus,nonsyn
99,13,advantageus,nonsyn
