S,pA,i,SFS_i
0.,0.01,1,0.00010000001246861307
0.,0.01,2,0.00005000001246861914
0.,0.01,3,0.00003333334580195393
0.,0.01,4,0.0000250000124686224
0.,0.01,5,0.000020000012468624876
0.,0.01,6,0.00001666667913529405
0.,0.01,7,0.000014285726754342236
0.,0.01,8,0.000012500012468623445
0.,0.01,9,0.000011111123579724168
0.,0.01,10,0.000010000012468630768
0.,0.01,11,9.090921559541127e-6
0.,0.01,12,8.333345801966658e-6
0.,0.01,13,7.692320160942339e-6
0.,0.01,14,7.142869611639122e-6
0.,0.01,15,6.666679135304267e-6
0.,0.01,16,6.250012468639612e-6
0.,0.01,17,5.882365409819199e-6
0.,0.01,18,5.5555680242035935e-6
0.,0.01,19,5.2631703633940414e-6
0.,0.01,20,5.000012468672031e-6
0.,0.01,21,4.761917230597867e-6
0.,0.01,22,4.545467014171205e-6
0.,0.01,23,4.347838555686229e-6
0.,0.01,24,4.166679135312724e-6
0.,0.01,25,4.00001246864703e-6
0.,0.01,26,3.84616631480186e-6
0.,0.01,27,3.7037161723527363e-6
0.,0.01,28,3.571441040078698e-6
0.,0.01,29,3.4482883307204743e-6
0.,0.01,30,3.333345801985939e-6
0.,0.01,31,3.225818920266544e-6
0.,0.01,32,3.125012468671371e-6
0.,0.01,33,3.0303154989577682e-6
0.,0.01,34,2.9411889392444974e-6
0.,0.01,35,2.8571553258001674e-6
0.,0.01,36,2.7777902464364023e-6
0.,0.01,37,2.702715171362846e-6
0.,0.01,38,2.631591416029856e-6
0.,0.01,39,2.5641150327647336e-6
0.,0.01,40,2.5000124686629e-6
0.,0.01,41,2.439036858907676e-6
0.,0.01,42,2.380964849202096e-6
0.,0.01,43,2.325593864014596e-6
0.,0.01,44,2.2727397413940502e-6
0.,0.01,45,2.222234690890026e-6
0.,0.01,46,2.173925512147115e-6
0.,0.01,47,2.127672043844165e-6
0.,0.01,48,2.0833458030573334e-6
0.,0.01,49,2.0408287952112568e-6
0.,0.01,50,2.0000124686767046e-6
0.,0.01,51,1.960796782402995e-6
0.,0.01,52,1.92308939175958e-6
0.,0.01,53,1.8868049215233074e-6
0.,0.01,54,1.8518643205639056e-6
0.,0.01,55,1.818194286927529e-6
0.,0.01,56,1.7857267545189463e-6
0.,0.01,57,1.7543984338177913e-6
0.,0.01,58,1.7241504001073597e-6
0.,0.01,59,1.6949277235783094e-6
0.,0.01,60,1.6666791364206173e-6
0.,0.01,61,1.639356732657038e-6
0.,0.01,62,1.6129156970176896e-6
0.,0.01,63,1.587314055985368e-6
0.,0.01,64,1.5625124686828917e-6
0.,0.01,65,1.5384740071430167e-6
0.,0.01,66,1.5151639838314016e-6
0.,0.01,67,1.4925497821231229e-6
0.,0.01,68,1.4706007039854484e-6
0.,0.01,69,1.4492878310109253e-6
0.,0.01,70,1.4285838972648461e-6
0.,0.01,71,1.408463172919812e-6
0.,0.01,72,1.3889013575843897e-6
0.,0.01,73,1.3698754823943703e-6
0.,0.01,74,1.3513638200480962e-6
0.,0.01,75,1.3333458020313154e-6
0.,0.01,76,1.3158019423834927e-6
0.,0.01,77,1.2987137674018452e-6
0.,0.01,78,1.2820637507743677e-6
0.,0.01,79,1.2658352535129925e-6
0.,0.01,80,1.2500124687039424e-6
0.,0.01,81,1.2345803699395603e-6
0.,0.01,82,1.2195246638279812e-6
0.,0.01,83,1.2048317457159209e-6
0.,0.01,84,1.190488659141336e-6
0.,0.01,85,1.1764830569352002e-6
0.,0.01,86,1.162803166387183e-6
0.,0.01,87,1.1494377560752495e-6
0.,0.01,88,1.1363761050840537e-6
0.,0.01,89,1.123607974338022e-6
0.,0.01,90,1.1111235798302858e-6
0.,0.01,91,1.0989135676197284e-6
0.,0.01,92,1.0869689904576376e-6
0.,0.01,93,1.0752812859227493e-6
0.,0.01,94,1.0638422559531253e-6
0.,0.01,95,1.0526440476674292e-6
