S,pA,i,SFS_i
10,0.0001,1,1.0256256655763153e-6
10,0.0001,2,5.262975315034532e-7
10,0.0001,3,3.6033852854446295e-7
10,0.0001,4,2.777515225669404e-7
10,0.0001,5,2.2853967967902953e-7
10,0.0001,6,1.96039837317811e-7
10,0.0001,7,1.7311302356473338e-7
10,0.0001,8,1.5619212551882478e-7
10,0.0001,9,1.432978187907907e-7
10,0.0001,10,1.3324498148497479e-7
10,0.0001,11,1.2528201819043816e-7
10,0.0001,12,1.1891057026541032e-7
10,0.0001,13,1.1378848908487545e-7
10,0.0001,14,1.0967444927646353e-7
10,0.0001,15,1.0639477933692948e-7
10,0.0001,16,1.038227999339311e-7
10,0.0001,17,1.0186553126362176e-7
10,0.0001,18,1.0045491668394992e-7
10,0.0001,19,9.954191327963095e-8
10,0.0001,20,9.909246230739888e-8
10,0.0001,21,9.9084731379011e-8
10,0.0001,22,9.950724465875936e-8
10,0.0001,23,1.0035765453987947e-7
10,0.0001,24,1.0164199468417727e-7
10,0.0001,25,1.0337431036276557e-7
10,0.0001,26,1.0557659959397445e-7
10,0.0001,27,1.0827902456242736e-7
10,0.0001,28,1.1152037162656236e-7
10,0.0001,29,1.1534875248433584e-7
10,0.0001,30,1.198225505661872e-7
10,0.0001,31,1.2501162660980046e-7
10,0.0001,32,1.3099880646478178e-7
10,0.0001,33,1.3788168307083078e-7
10,0.0001,34,1.457747737391156e-7
10,0.0001,35,1.548120836921371e-7
10,0.0001,36,1.651501377504965e-7
10,0.0001,37,1.7697155428000842e-7
10,0.0001,38,1.9048924957868524e-7
10,0.0001,39,2.0595137704509728e-7
