S,pA,i,SFS_i
50,0.0001,1,1.0256410256410284e-6
50,0.0001,2,5.263157894736837e-7
50,0.0001,3,3.6036036036037553e-7
50,0.0001,4,2.777777777778225e-7
50,0.0001,5,2.2857142857148104e-7
50,0.0001,6,1.9607843137238855e-7
50,0.0001,7,1.7316017315931071e-7
50,0.0001,8,1.562499999999995e-7
50,0.0001,9,1.4336917562724697e-7
50,0.0001,10,1.3333333333331462e-7
50,0.0001,11,1.2539184952974631e-7
50,0.0001,12,1.1904761904748696e-7
50,0.0001,13,1.139601139596772e-7
50,0.0001,14,1.0989010988868113e-7
50,0.0001,15,1.0666666666214627e-7
50,0.0001,16,1.041666666526419e-7
50,0.0001,17,1.0230179023866906e-7
50,0.0001,18,1.0101010088267547e-7
50,0.0001,19,1.0025062619213061e-7
50,0.0001,20,9.999999891741924e-8
50,0.0001,21,1.0025062347880631e-7
50,0.0001,22,1.0101009231727277e-7
50,0.0001,23,1.023017660936346e-7
50,0.0001,24,1.0416660007542263e-7
50,0.0001,25,1.0666648506239799e-7
50,0.0001,26,1.0988961871850057e-7
50,0.0001,27,1.1395879485171884e-7
50,0.0001,28,1.1904409648643331e-7
50,0.0001,29,1.2538248181806458e-7
50,0.0001,30,1.3330848002410503e-7
50,0.0001,31,1.4330324940273968e-7
50,0.0001,32,1.5607466860929575e-7
50,0.0001,33,1.7269093271014812e-7
50,0.0001,34,1.9480805426385727e-7
50,0.0001,35,2.2506477180250337e-7
50,0.0001,36,2.677799644015534e-7
50,0.0001,37,3.302029929716718e-7
50,0.0001,38,4.2478437094209794e-7
50,0.0001,39,5.733439358416089e-7
