alleles,count,class,site
1,66277,neutral,syn
2,32328,neutral,syn
3,21020,neutral,syn
4,15608,neutral,syn
5,12112,neutral,syn
6,9870,neutral,syn
7,8458,neutral,syn
8,7286,neutral,syn
9,6257,neutral,syn
10,5815,neutral,syn
11,5158,neutral,syn
12,4630,neutral,syn
13,4283,neutral,syn
14,3899,neutral,syn
15,3571,neutral,syn
16,3434,neutral,syn
17,3013,neutral,syn
18,2875,neutral,syn
19,2809,neutral,syn
20,2532,neutral,syn
21,2476,neutral,syn
22,2184,neutral,syn
23,2138,neutral,syn
24,2090,neutral,syn
25,1989,neutral,syn
26,1812,neutral,syn
27,1783,neutral,syn
28,1747,neutral,syn
29,1681,neutral,syn
30,1605,neutral,syn
31,1552,neutral,syn
32,1422,neutral,syn
33,1349,neutral,syn
34,1314,neutral,syn
35,1337,neutral,syn
36,1264,neutral,syn
37,1231,neutral,syn
38,1188,neutral,syn
39,1196,neutral,syn
40,1104,neutral,syn
41,1090,neutral,syn
42,1049,neutral,syn
43,1062,neutral,syn
44,1054,neutral,syn
45,1030,neutral,syn
46,914,neutral,syn
47,912,neutral,syn
48,964,neutral,syn
49,876,neutral,syn
50,814,neutral,syn
51,782,neutral,syn
52,837,neutral,syn
53,792,neutral,syn
54,804,neutral,syn
55,796,neutral,syn
56,735,neutral,syn
57,803,neutral,syn
58,775,neutral,syn
59,754,neutral,syn
60,717,neutral,syn
61,671,neutral,syn
62,704,neutral,syn
63,679,neutral,syn
64,633,neutral,syn
65,664,neutral,syn
66,629,neutral,syn
67,636,neutral,syn
68,642,neutral,syn
69,666,neutral,syn
70,624,neutral,syn
71,631,neutral,syn
72,606,neutral,syn
73,617,neutral,syn
74,594,neutral,syn
75,587,neutral,syn
76,573,neutral,syn
77,560,neutral,syn
78,531,neutral,syn
79,577,neutral,syn
80,601,neutral,syn
81,553,neutral,syn
82,596,neutral,syn
83,535,neutral,syn
84,570,neutral,syn
85,580,neutral,syn
86,554,neutral,syn
87,566,neutral,syn
88,529,neutral,syn
89,581,neutral,syn
90,574,neutral,syn
91,504,neutral,syn
92,545,neutral,syn
93,521,neutral,syn
94,544,neutral,syn
95,531,neutral,syn
96,531,neutral,syn
97,567,neutral,syn
98,577,neutral,syn
99,580,neutral,syn
1,47867,deleterious,nonsyn
2,17091,deleterious,nonsyn
3,9563,deleterious,nonsyn
4,6493,deleterious,nonsyn
5,4755,deleterious,nonsyn
6,3592,deleterious,nonsyn
7,2965,deleterious,nonsyn
8,2501,deleterious,nonsyn
9,1968,deleterious,nonsyn
10,1753,deleterious,nonsyn
11,1586,deleterious,nonsyn
12,1368,deleterious,nonsyn
13,1205,deleterious,nonsyn
14,1056,deleterious,nonsyn
15,991,deleterious,nonsyn
16,972,deleterious,nonsyn
17,901,deleterious,nonsyn
18,758,deleterious,nonsyn
19,713,deleterious,nonsyn
20,678,deleterious,nonsyn
