alleles,count,class,site
21,608,deleterious,nonsyn
22,598,deleterious,nonsyn
23,564,deleterious,nonsyn
24,478,deleterious,nonsyn
25,516,deleterious,nonsyn
26,435,deleterious,nonsyn
27,423,deleterious,nonsyn
28,419,deleterious,nonsyn
29,444,deleterious,nonsyn
30,385,deleterious,nonsyn
31,371,deleterious,nonsyn
32,305,deleterious,nonsyn
33,315,deleterious,nonsyn
34,328,deleterious,nonsyn
35,314,deleterious,nonsyn
36,283,deleterious,nonsyn
37,275,deleterious,nonsyn
38,275,deleterious,nonsyn
39,239,deleterious,nonsyn
40,256,deleterious,nonsyn
41,247,deleterious,nonsyn
42,239,deleterious,nonsyn
43,251,deleterious,nonsyn
44,213,deleterious,nonsyn
45,183,deleterious,nonsyn
46,207,deleterious,nonsyn
47,192,deleterious,nonsyn
48,209,deleterious,nonsyn
49,189,deleterious,nonsyn
50,194,deleterious,nonsyn
51,168,deleterious,nonsyn
52,178,deleterious,nonsyn
53,166,deleterious,nonsyn
54,164,deleterious,nonsyn
55,175,deleterious,nonsyn
56,163,deleterious,nonsyn
57,152,deleterious,nonsyn
58,168,deleterious,nonsyn
59,132,deleterious,nonsyn
60,146,deleterious,nonsyn
61,128,deleterious,nonsyn
62,155,deleterious,nonsyn
63,151,deleterious,nonsyn
64,159,deleterious,nonsyn
65,129,deleterious,nonsyn
66,139,deleterious,nonsyn
67,124,deleterious,nonsyn
68,116,deleterious,nonsyn
69,138,deleterious,nonsyn
70,129,deleterious,nonsyn
71,128,deleterious,nonsyn
72,121,deleterious,nonsyn
73,117,deleterious,nonsyn
74,123,deleterious,nonsyn
75,134,deleterious,nonsyn
76,107,deleterious,nonsyn
77,104,deleterious,nonsyn
78,105,deleterious,nonsyn
79,108,deleterious,nonsyn
80,126,deleterious,nonsyn
81,109,deleterious,nonsyn
82,134,deleterious,nonsyn
83,117,deleterious,nonsyn
84,123,deleterious,nonsyn
85,117,deleterious,nonsyn
86,106,deleterious,nonsyn
87,92,deleterious,nonsyn
88,111,deleterious,nonsyn
89,111,deleterious,nonsyn
90,122,deleterious,nonsyn
91,87,deleterious,nonsyn
92,85,deleterious,nonsyn
93,99,deleterious,nonsyn
94,100,deleterious,nonsyn
95,110,deleterious,nonsyn
96,116,deleterious,nonsyn
97,111,deleterious,nonsyn
98,92,deleterious,nonsyn
99,97,deleterious,nonsyn
1,126,advantageus,nonsyn
2,64,advantageus,nonsyn
3,36,advantageus,nonsyn
4,22,advantageus,nonsyn
5,35,advantageus,nonsyn
6,21,advantageus,nonsyn
7,21,advantageus,nonsyn
8,16,advantageus,nonsyn
9,24,advantageus,nonsyn
10,16,advantageus,nonsyn
11,13,advantageus,nonsyn
12,23,advantageus,nonsyn
13,8,advantageus,nonsyn
14,12,advantageus,nonsyn
15,10,advantageus,nonsyn
16,9,advantageus,nonsyn
17,8,advantageus,nonsyn
18,7,advantageus,nonsyn
19,8,advantageus,nonsyn
20,6,advantageus,nonsyn
21,12,advantageus,nonsyn
22,12,advantageus,nonsyn
23,3,advantageus,nonsyn
24,7,advantageus,nonsyn
25,8,advantageus,nonsyn
26,6,advantageus,nonsyn
27,8,advantageus,nonsyn
28,3,advantageus,nonsyn
29,7,advantageus,nonsyn
30,6,advantageus,nonsyn
31,6,advantageus,nonsyn
32,6,advantageus,nonsyn
33,9,advantageus,nonsyn
34,9,advantageus,nonsyn
35,3,advantageus,nonsyn
36,8,advantageus,nonsyn
37,8,advantageus,nonsyn
38,7,advantageus,nonsyn
39,3,advantageus,nonsyn
40,5,advantageus,nonsyn
41,4,advantageus,nonsyn
42,3,advantageus,nonsyn
43,8,advantageus,nonsyn
44,0,advantageus,nonsyn
45,8,advantageus,nonsyn
46,9,advantageus,nonsyn
47,3,advantageus,nonsyn
48,6,advantageus,nonsyn
49,6,advantageus,nonsyn
50,5,advantageus,nonsyn
51,8,advantageus,nonsyn
52,7,advantageus,nonsyn
53,4,advantageus,nonsyn
54,3,advantageus,nonsyn
55,8,advantageus,nonsyn
56,6,advantageus,nonsyn
57,10,advantageus,nonsyn
58,4,advantageus,nonsyn
59,4,advantageus,nonsyn
60,7,advantageus,nonsyn
61,10,advantageus,nonsyn
62,13,advantageus,nonsyn
63,3,advantageus,nonsyn
64,5,advantageus,nonsyn
65,6,advantageus,nonsyn
66,11,advantageus,nonsyn
67,6,advantageus,nonsyn
68,7,advantageus,nonsyn
69,6,advantageus,nonsyn
70,2,advantageus,nonsyn
71,4,advantageus,nonsyn
72,7,advantageus,nonsyn
73,7,advantageus,nonsyn
74,8,advantageus,nonsyn
75,11,advantageus,nonsyn
76,6,advantageus,nonsyn
77,7,advantageus,nonsyn
78,9,advantageus,nonsyn
79,8,advantageus,nonsyn
80,7,advantageus,nonsyn
81,12,advantageus,nonsyn
82,9,advantageus,nonsyn
83,9,advantageus,nonsyn
84,9,advantageus,nonsyn
85,8,advantageus,nonsyn
86,10,advantageus,nonsyn
87,19,advantageus,nonsyn
88,11,advantageus,nonsyn
89,10,advantageus,nonsyn
90,7,advantageus,nonsyn
91,13,advantageus,nonsyn
92,18,advantageus,nonsyn
93,19,advantageus,nonsyn
94,22,advantageus,nonsyn
95,22,advantageus,nonsyn
96,37,advantageus,nonsyn
97,36,advantageus,nonsyn
98,60,advantageus,nonsyn
99,70,advantageus,nonsyn
