S,pA,i,SFS_i
500,0.001,1,0.000010256410256410283
500,0.001,2,5.263157894736836e-6
500,0.001,3,3.6036036036037547e-6
500,0.001,4,2.7777777777782243e-6
500,0.001,5,2.2857142857148103e-6
500,0.001,6,1.960784313723886e-6
500,0.001,7,1.7316017315931089e-6
500,0.001,8,1.5625000000000026e-6
500,0.001,9,1.4336917562724995e-6
500,0.001,10,1.3333333333332549e-6
500,0.001,11,1.2539184952978473e-6
500,0.001,12,1.1904761904761885e-6
500,0.001,13,1.1396011396011652e-6
500,0.001,14,1.098901098901071e-6
500,0.001,15,1.0666666666666688e-6
500,0.001,16,1.041666666666672e-6
500,0.001,17,1.0230179028132977e-6
500,0.001,18,1.010101010100977e-6
500,0.001,19,1.0025062656641222e-6
500,0.001,20,1.0000000000003566e-6
500,0.001,21,1.0025062656641222e-6
500,0.001,22,1.010101010100977e-6
500,0.001,23,1.0230179028132979e-6
500,0.001,24,1.0416666666666718e-6
500,0.001,25,1.0666666666666688e-6
500,0.001,26,1.0989010989010713e-6
500,0.001,27,1.1396011396011648e-6
500,0.001,28,1.1904761904761838e-6
500,0.001,29,1.253918495297754e-6
500,0.001,30,1.333333333331427e-6
500,0.001,31,1.4336917562380468e-6
500,0.001,32,1.5624999993898316e-6
500,0.001,33,1.7316017205035562e-6
500,0.001,34,1.960784113047214e-6
500,0.001,35,2.2857106545903484e-6
500,0.001,36,2.7777109279810887e-6
500,0.001,37,3.6023213787456923e-6
500,0.001,38,5.2361196744852005e-6
500,0.001,39,9.513013769171303e-6
