S,pA,i,SFS_i
10,0.001,1,0.000010256256655763153
10,0.001,2,5.262975315034531e-6
10,0.001,3,3.6033852854446296e-6
10,0.001,4,2.777515225669404e-6
10,0.001,5,2.2853967967902953e-6
10,0.001,6,1.9603983731781097e-6
10,0.001,7,1.7311302356473336e-6
10,0.001,8,1.5619212551882475e-6
10,0.001,9,1.432978187907907e-6
10,0.001,10,1.3324498148497477e-6
10,0.001,11,1.2528201819043815e-6
10,0.001,12,1.189105702654103e-6
10,0.001,13,1.1378848908487545e-6
10,0.001,14,1.0967444927646351e-6
10,0.001,15,1.0639477933692946e-6
10,0.001,16,1.038227999339311e-6
10,0.001,17,1.0186553126362174e-6
10,0.001,18,1.0045491668394991e-6
10,0.001,19,9.954191327963094e-7
10,0.001,20,9.909246230739887e-7
10,0.001,21,9.9084731379011e-7
10,0.001,22,9.950724465875935e-7
10,0.001,23,1.0035765453987945e-6
10,0.001,24,1.0164199468417727e-6
10,0.001,25,1.0337431036276556e-6
10,0.001,26,1.0557659959397444e-6
10,0.001,27,1.0827902456242736e-6
10,0.001,28,1.1152037162656235e-6
10,0.001,29,1.1534875248433582e-6
10,0.001,30,1.1982255056618719e-6
10,0.001,31,1.2501162660980045e-6
10,0.001,32,1.3099880646478179e-6
10,0.001,33,1.3788168307083077e-6
10,0.001,34,1.4577477373911559e-6
10,0.001,35,1.5481208369213707e-6
10,0.001,36,1.6515013775049648e-6
10,0.001,37,1.769715542800084e-6
10,0.001,38,1.9048924957868523e-6
10,0.001,39,2.0595137704509727e-6
