S,pA,i,SFS_i
0.,0.01,1,0.00010000012194939088
0.,0.01,2,0.00005000012194948036
0.,0.01,3,0.00003333345528291145
0.,0.01,4,0.00002500012194967615
0.,0.01,5,0.00002000012194977337
0.,0.01,6,0.000016666788616525373
0.,0.01,7,0.000014285836235617386
0.,0.01,8,0.000012500121950056038
0.,0.01,9,0.000011111233061265571
0.,0.01,10,0.000010000121950250712
0.,0.01,11,9.091031041257714e-6
0.,0.01,12,8.333455283778625e-6
0.,0.01,13,7.692429642850394e-6
0.,0.01,14,7.142979093496412e-6
0.,0.01,15,6.666788617402638e-6
0.,0.01,16,6.250121950832513e-6
0.,0.01,17,5.882474892106131e-6
0.,0.01,18,5.555677506580887e-6
0.,0.01,19,5.2632798458583964e-6
0.,0.01,20,5.000121951220202e-6
0.,0.01,21,4.762026713221545e-6
0.,0.01,22,4.545576496866147e-6
0.,0.01,23,4.34794803846524e-6
0.,0.01,24,4.166788618273138e-6
0.,0.01,25,4.000121951702697e-6
0.,0.01,26,3.846275797953442e-6
0.,0.01,27,3.703825655600189e-6
0.,0.01,28,3.5715505234220333e-6
0.,0.01,29,3.4483978141592225e-6
0.,0.01,30,3.333455285520895e-6
0.,0.01,31,3.225928403897466e-6
0.,0.01,32,3.125121952381762e-6
0.,0.01,33,3.0304249827812854e-6
0.,0.01,34,2.9412984231505427e-6
0.,0.01,35,2.8572648098125836e-6
0.,0.01,36,2.777899730545479e-6
0.,0.01,37,2.7028246555677598e-6
0.,0.01,38,2.6317009003328607e-6
0.,0.01,39,2.564224517169599e-6
