alleles,count,class,site
66,154,deleterious,nonsyn
67,152,deleterious,nonsyn
68,162,deleterious,nonsyn
69,144,deleterious,nonsyn
70,160,deleterious,nonsyn
71,158,deleterious,nonsyn
72,127,deleterious,nonsyn
73,151,deleterious,nonsyn
74,121,deleterious,nonsyn
75,192,deleterious,nonsyn
76,154,deleterious,nonsyn
77,144,deleterious,nonsyn
78,141,deleterious,nonsyn
79,168,deleterious,nonsyn
80,135,deleterious,nonsyn
81,127,deleterious,nonsyn
82,143,deleterious,nonsyn
83,131,deleterious,nonsyn
84,151,deleterious,nonsyn
85,131,deleterious,nonsyn
86,110,deleterious,nonsyn
87,133,deleterious,nonsyn
88,115,deleterious,nonsyn
89,120,deleterious,nonsyn
90,102,deleterious,nonsyn
91,129,deleterious,nonsyn
92,111,deleterious,nonsyn
93,122,deleterious,nonsyn
94,126,deleterious,nonsyn
95,139,deleterious,nonsyn
96,126,deleterious,nonsyn
97,116,deleterious,nonsyn
98,119,deleterious,nonsyn
99,120,deleterious,nonsyn
1,1484,advantageus,nonsyn
2,675,advantageus,nonsyn
3,514,advantageus,nonsyn
4,321,advantageus,nonsyn
5,281,advantageus,nonsyn
6,220,advantageus,nonsyn
7,192,advantageus,nonsyn
8,197,advantageus,nonsyn
9,153,advantageus,nonsyn
10,142,advantageus,nonsyn
11,126,advantageus,nonsyn
12,134,advantageus,nonsyn
13,118,advantageus,nonsyn
14,106,advantageus,nonsyn
15,101,advantageus,nonsyn
16,79,advantageus,nonsyn
17,78,advantageus,nonsyn
18,99,advantageus,nonsyn
19,78,advantageus,nonsyn
20,79,advantageus,nonsyn
21,70,advantageus,nonsyn
22,87,advantageus,nonsyn
23,82,advantageus,nonsyn
24,68,advantageus,nonsyn
25,68,advantageus,nonsyn
26,63,advantageus,nonsyn
27,64,advantageus,nonsyn
28,62,advantageus,nonsyn
29,60,advantageus,nonsyn
30,64,advantageus,nonsyn
31,58,advantageus,nonsyn
32,57,advantageus,nonsyn
33,70,advantageus,nonsyn
34,63,advantageus,nonsyn
35,48,advantageus,nonsyn
36,38,advantageus,nonsyn
37,52,advantageus,nonsyn
38,60,advantageus,nonsyn
39,52,advantageus,nonsyn
40,55,advantageus,nonsyn
41,50,advantageus,nonsyn
42,54,advantageus,nonsyn
43,48,advantageus,nonsyn
44,54,advantageus,nonsyn
45,48,advantageus,nonsyn
46,62,advantageus,nonsyn
47,55,advantageus,nonsyn
48,59,advantageus,nonsyn
49,50,advantageus,nonsyn
50,40,advantageus,nonsyn
51,49,advantageus,nonsyn
52,45,advantageus,nonsyn
53,66,advantageus,nonsyn
54,42,advantageus,nonsyn
55,51,advantageus,nonsyn
56,53,advantageus,nonsyn
57,59,advantageus,nonsyn
58,62,advantageus,nonsyn
59,49,advantageus,nonsyn
60,44,advantageus,nonsyn
61,57,advantageus,nonsyn
62,51,advantageus,nonsyn
63,58,advantageus,nonsyn
64,60,advantageus,nonsyn
65,55,advantageus,nonsyn
66,45,advantageus,nonsyn
67,49,advantageus,nonsyn
68,50,advantageus,nonsyn
69,44,advantageus,nonsyn
70,53,advantageus,nonsyn
71,46,advantageus,nonsyn
72,54,advantageus,nonsyn
73,54,advantageus,nonsyn
74,61,advantageus,nonsyn
75,49,advantageus,nonsyn
76,50,advantageus,nonsyn
77,60,advantageus,nonsyn
78,54,advantageus,nonsyn
79,60,advantageus,nonsyn
80,53,advantageus,nonsyn
81,68,advantageus,nonsyn
82,60,advantageus,nonsyn
83,58,advantageus,nonsyn
84,62,advantageus,nonsyn
85,52,advantageus,nonsyn
86,57,advantageus,nonsyn
87,71,advantageus,nonsyn
88,78,advantageus,nonsyn
89,63,advantageus,nonsyn
90,85,advantageus,nonsyn
91,74,advantageus,nonsyn
92,78,advantageus,nonsyn
93,92,advantageus,nonsyn
94,98,advantageus,nonsyn
95,92,advantageus,nonsyn
96,88,advantageus,nonsyn
97,84,advantageus,nonsyn
98,91,advantageus,nonsyn
99,121,advantageus,nonsyn
