alleles,count,class,site
1,67257,neutral,syn
2,33171,neutral,syn
3,21837,neutral,syn
4,16414,neutral,syn
5,12901,neutral,syn
6,10571,neutral,syn
7,9185,neutral,syn
8,7729,neutral,syn
9,6800,neutral,syn
10,6201,neutral,syn
11,5643,neutral,syn
12,5066,neutral,syn
13,4788,neutral,syn
14,4394,neutral,syn
15,4086,neutral,syn
16,3890,neutral,syn
17,3548,neutral,syn
18,3400,neutral,syn
19,3050,neutral,syn
20,2895,neutral,syn
21,2938,neutral,syn
22,2719,neutral,syn
23,2563,neutral,syn
24,2417,neutral,syn
25,2377,neutral,syn
26,2334,neutral,syn
27,2188,neutral,syn
28,2052,neutral,syn
29,2020,neutral,syn
30,1897,neutral,syn
31,1828,neutral,syn
32,1758,neutral,syn
33,1780,neutral,syn
34,1722,neutral,syn
35,1584,neutral,syn
36,1595,neutral,syn
37,1559,neutral,syn
38,1466,neutral,syn
39,1548,neutral,syn
40,1373,neutral,syn
41,1496,neutral,syn
42,1346,neutral,syn
43,1357,neutral,syn
44,1288,neutral,syn
45,1275,neutral,syn
46,1223,neutral,syn
47,1218,neutral,syn
48,1125,neutral,syn
49,1178,neutral,syn
50,1202,neutral,syn
51,1165,neutral,syn
52,1091,neutral,syn
53,1046,neutral,syn
54,1053,neutral,syn
55,1018,neutral,syn
56,1033,neutral,syn
57,975,neutral,syn
58,912,neutral,syn
59,885,neutral,syn
60,884,neutral,syn
61,881,neutral,syn
62,897,neutral,syn
63,890,neutral,syn
64,864,neutral,syn
65,843,neutral,syn
66,834,neutral,syn
67,796,neutral,syn
68,791,neutral,syn
69,775,neutral,syn
70,827,neutral,syn
71,805,neutral,syn
72,786,neutral,syn
73,790,neutral,syn
74,766,neutral,syn
75,867,neutral,syn
76,724,neutral,syn
77,782,neutral,syn
78,758,neutral,syn
79,738,neutral,syn
80,773,neutral,syn
81,734,neutral,syn
82,684,neutral,syn
83,751,neutral,syn
84,714,neutral,syn
85,656,neutral,syn
86,686,neutral,syn
87,698,neutral,syn
88,654,neutral,syn
89,669,neutral,syn
90,700,neutral,syn
91,636,neutral,syn
92,663,neutral,syn
93,673,neutral,syn
94,675,neutral,syn
95,689,neutral,syn
96,658,neutral,syn
97,642,neutral,syn
98,701,neutral,syn
99,660,neutral,syn
1,47580,deleterious,nonsyn
2,17591,deleterious,nonsyn
3,9891,deleterious,nonsyn
4,6682,deleterious,nonsyn
5,4834,deleterious,nonsyn
6,3876,deleterious,nonsyn
7,3149,deleterious,nonsyn
8,2548,deleterious,nonsyn
9,2190,deleterious,nonsyn
10,1898,deleterious,nonsyn
11,1688,deleterious,nonsyn
12,1488,deleterious,nonsyn
13,1382,deleterious,nonsyn
14,1195,deleterious,nonsyn
15,1113,deleterious,nonsyn
16,1045,deleterious,nonsyn
17,965,deleterious,nonsyn
18,831,deleterious,nonsyn
19,807,deleterious,nonsyn
20,799,deleterious,nonsyn
21,812,deleterious,nonsyn
22,706,deleterious,nonsyn
23,651,deleterious,nonsyn
24,631,deleterious,nonsyn
25,618,deleterious,nonsyn
26,546,deleterious,nonsyn
27,502,deleterious,nonsyn
28,513,deleterious,nonsyn
29,492,deleterious,nonsyn
30,449,deleterious,nonsyn
31,406,deleterious,nonsyn
32,394,deleterious,nonsyn
33,408,deleterious,nonsyn
34,370,deleterious,nonsyn
35,387,deleterious,nonsyn
36,372,deleterious,nonsyn
37,324,deleterious,nonsyn
38,335,deleterious,nonsyn
39,306,deleterious,nonsyn
40,306,deleterious,nonsyn
41,317,deleterious,nonsyn
42,285,deleterious,nonsyn
43,271,deleterious,nonsyn
44,257,deleterious,nonsyn
45,253,deleterious,nonsyn
46,247,deleterious,nonsyn
47,249,deleterious,nonsyn
48,232,deleterious,nonsyn
49,251,deleterious,nonsyn
50,236,deleterious,nonsyn
51,225,deleterious,nonsyn
52,203,deleterious,nonsyn
53,199,deleterious,nonsyn
54,193,deleterious,nonsyn
55,214,deleterious,nonsyn
56,219,deleterious,nonsyn
57,188,deleterious,nonsyn
58,187,deleterious,nonsyn
59,198,deleterious,nonsyn
60,189,deleterious,nonsyn
61,183,deleterious,nonsyn
62,185,deleterious,nonsyn
63,193,deleterious,nonsyn
64,192,deleterious,nonsyn
65,159,deleterious,nonsyn
